META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-05 20:20:15 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 3/4; ; ; ; 4/5; ; ; 4/5; 4/5; ; 4/5; ; ; 4/5; 10/13; 10/11; ; 10/13; 17/20; ; ; ; ; ; ; 
Atletico Madrid; 4/5; ; 4/5; 4/5; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 7/9; 3/4; 4/5; ; 4/7; ; 
Draw; 11/4; ; 13/5; 11/4; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 13/5; 13/5; 13/5; ; 21/10; ; 
Sevilla; 16/5; ; 17/5; 16/5; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; 16/5; ; 27/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-11 12:18:55 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; 4/5; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 3/4; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 7/9; 3/4; 4/5; ; 8/15; ; 
Draw; 11/4; ; 13/5; 11/4; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 45/17; 13/5; 13/5; ; 21/10; ; 
Sevilla; 16/5; ; 17/5; 16/5; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 15/4; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 58/19; 15/4; 16/5; ; 13/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-11 16:18:39 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; 4/5; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 3/4; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 7/9; 3/4; 4/5; ; 8/15; ; 
Draw; 11/4; ; 13/5; 11/4; ; 14/5; 11/4; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 45/17; 13/5; 13/5; ; 21/10; ; 
Sevilla; 16/5; ; 17/5; 16/5; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 15/4; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 58/19; 15/4; 16/5; ; 14/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-11 20:19:10 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; 4/5; 5/6; 4/5; 4/5; 8/11; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 10/13; 3/4; 4/5; ; 4/7; ; 
Draw; 11/4; ; 13/5; 11/4; 11/4; 14/5; 14/5; 5/2; 11/4; 13/5; 5/2; 5/2; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 45/17; 13/5; 13/5; ; 21/10; ; 
Sevilla; 16/5; ; 17/5; 16/5; 10/3; 7/2; 17/5; 16/5; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 31/10; 15/4; 16/5; ; 14/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-12 00:18:29 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/5; ; 4/5; 4/5; 5/6; 4/5; 4/5; 8/11; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 10/13; 3/4; 4/5; ; 4/7; ; 
Draw; 11/4; ; 13/5; 11/4; 11/4; 14/5; 11/4; 5/2; 11/4; 13/5; 5/2; 5/2; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 45/17; 13/5; 13/5; ; 21/10; ; 
Sevilla; 16/5; ; 17/5; 16/5; 10/3; 7/2; 17/5; 16/5; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 31/10; 15/4; 16/5; ; 13/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-12 04:18:47 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 8/11; ; 4/5; 4/5; 3/4; 4/5; 3/4; 8/11; 4/5; 3/4; 3/4; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 10/13; 3/4; 3/4; ; 4/7; ; 
Draw; 11/4; ; 27/10; 11/4; 11/4; 14/5; 14/5; 5/2; 11/4; 13/5; 5/2; 5/2; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 45/17; 13/5; 11/4; ; 21/10; ; 
Sevilla; 7/2; ; 17/5; 16/5; 19/5; 7/2; 18/5; 16/5; 10/3; 7/2; 13/4; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 31/10; 15/4; 10/3; ; 13/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-12 08:19:06 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 8/11; ; 4/5; 4/5; 3/4; 4/5; 3/4; 8/11; 4/5; 3/4; 3/4; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 10/13; 3/4; 3/4; ; 4/7; ; 
Draw; 11/4; ; 27/10; 11/4; 11/4; 14/5; 14/5; 5/2; 11/4; 13/5; 5/2; 5/2; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 45/17; 13/5; 11/4; ; 21/10; ; 
Sevilla; 7/2; ; 17/5; 16/5; 19/5; 7/2; 18/5; 16/5; 10/3; 7/2; 13/4; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 31/10; 15/4; 10/3; ; 13/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-12 12:18:28 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 8/11; ; ; 4/5; 3/4; 4/5; 3/4; 8/11; 4/5; 3/4; 3/4; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 10/13; 3/4; 3/4; ; 4/7; ; 
Draw; 11/4; ; ; 11/4; 11/4; 14/5; 11/4; 5/2; 11/4; 13/5; 5/2; 5/2; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 45/17; 13/5; 11/4; ; 21/10; ; 
Sevilla; 7/2; ; ; 16/5; 19/5; 7/2; 18/5; 16/5; 10/3; 7/2; 13/4; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 31/10; 15/4; 10/3; ; 13/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-12 16:18:20 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 8/11; 17/20; 4/5; 4/5; 3/4; 4/5; 3/4; 8/11; 4/5; 3/4; 3/4; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 10/13; 3/4; 3/4; ; 4/6; ; 
Draw; 11/4; 13/5; 27/10; 11/4; 11/4; 14/5; 14/5; 5/2; 11/4; 13/5; 5/2; 5/2; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 45/17; 13/5; 11/4; ; 5/2; ; 
Sevilla; 7/2; 16/5; 17/5; 16/5; 19/5; 7/2; 18/5; 16/5; 10/3; 7/2; 13/4; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 31/10; 15/4; 10/3; ; 13/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-12 20:19:02 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 7/10; 17/20; 3/4; 4/5; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 7/10; 3/4; 8/11; ; 3/4; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 10/13; 13/18; 8/11; ; 8/11; ; 
Draw; 14/5; 13/5; 27/10; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 5/2; 27/10; ; 13/5; 14/5; 14/5; 27/10; 13/5; 14/5; 14/5; 45/17; 27/10; 11/4; ; 27/10; ; 
Sevilla; 15/4; 16/5; 37/10; 16/5; 4; 37/10; 19/5; 16/5; 7/2; 15/4; 7/2; 15/4; 15/4; ; 4; 7/2; 37/10; 31/10; 7/2; 37/10; 77/20; 31/10; 4; 7/2; ; 10/3; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-13 00:18:10 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 7/10; 3/4; 3/4; 4/5; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; ; 3/4; 8/11; 8/13; 4/5; 4/6; 8/13; 41/50; 10/13; 13/18; 8/11; ; 4/6; ; 
Draw; 14/5; 11/4; 27/10; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 13/5; 27/10; ; 13/5; 14/5; 11/4; 27/10; 27/10; 11/4; 14/5; 45/17; 27/10; 11/4; ; 27/10; ; 
Sevilla; 15/4; 18/5; 37/10; 16/5; 4; 37/10; 19/5; 16/5; 7/2; 15/4; 7/2; 15/4; 15/4; ; 4; 4; 77/19; 31/10; 4; 77/19; 39/10; 31/10; 4; 7/2; ; 7/2; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-13 04:17:53 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 7/10; 3/4; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 8/11; 8/11; ; 3/4; 8/11; 11/18; 3/4; 4/6; 11/18; 41/50; 14/19; 13/18; 7/10; ; 4/6; ; 
Draw; 14/5; 11/4; 11/4; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 11/4; 27/10; ; 13/5; 14/5; 14/5; 27/10; 27/10; 14/5; 14/5; 45/17; 27/10; 11/4; ; 11/4; ; 
Sevilla; 15/4; 18/5; 19/5; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 18/5; 15/4; 15/4; ; 4; 4; 54/13; 33/10; 4; 54/13; 39/10; 33/10; 4; 15/4; ; 7/2; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-13 08:18:00 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 7/10; 3/4; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 8/11; 7/10; ; 3/4; 8/11; 11/18; 13/18; 4/6; 11/18; 41/50; 7/10; 13/18; 7/10; ; 4/6; ; 
Draw; 14/5; 11/4; 11/4; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 11/4; 14/5; ; 13/5; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 27/10; 27/10; 11/4; ; 11/4; ; 
Sevilla; 15/4; 18/5; 19/5; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 18/5; 15/4; 15/4; ; 4; 4; 54/13; 7/2; 4; 54/13; 39/10; 7/2; 4; 15/4; ; 7/2; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-13 12:18:37 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 7/10; 3/4; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 8/11; 7/10; ; 3/4; 8/11; 11/18; 13/18; 4/6; 11/18; 19/25; 7/10; 13/18; 7/10; ; 4/6; 4/6; 
Draw; 14/5; 11/4; 11/4; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 11/4; 14/5; ; 13/5; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 27/10; 27/10; 11/4; ; 11/4; 14/5; 
Sevilla; 15/4; 18/5; 19/5; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 18/5; 15/4; 15/4; ; 4; 4; 41/10; 7/2; 4; 41/10; 22/5; 7/2; 4; 15/4; ; 7/2; 7/2; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-13 16:20:34 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 7/10; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 8/11; 7/10; ; 3/4; 8/11; 11/18; 13/18; 4/6; 11/18; 19/25; 7/10; 13/18; 7/10; 8/11; ; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 11/4; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 11/4; 14/5; ; 13/5; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 27/10; 27/10; 11/4; 27/10; ; 11/4; 14/5; 14/5
Sevilla; 15/4; 18/5; 19/5; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 18/5; 15/4; 15/4; ; 4; 4; 21/5; 7/2; 4; 21/5; 22/5; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-13 20:18:39 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 7/10; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 7/10; 7/10; ; 7/10; 8/11; 11/18; 13/18; 4/6; 11/18; 19/25; 7/10; 13/18; 8/11; 8/11; ; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 11/4; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 14/5; 14/5; ; 11/4; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 27/10; 27/10; 14/5; 27/10; ; 11/4; 14/5; 14/5
Sevilla; 15/4; 18/5; 19/5; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 18/5; 15/4; 15/4; ; 4; 4; 17/4; 7/2; 4; 17/4; 22/5; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-14 00:18:16 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 7/10; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 7/10; 7/10; ; 7/10; 8/11; 10/17; 13/18; 4/6; 10/17; 19/25; 7/10; 9/13; 8/11; 7/10; ; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 11/4; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 14/5; 14/5; ; 11/4; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 27/10; 27/10; 14/5; 11/4; ; 11/4; 14/5; 14/5
Sevilla; 15/4; 18/5; 19/5; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 18/5; 15/4; 15/4; ; 4; 4; 43/10; 7/2; 21/5; 43/10; 22/5; 7/2; 21/5; 15/4; 17/4; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-14 04:18:15 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 7/10; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 7/10; 7/10; ; 7/10; 8/11; 11/18; 13/18; 4/6; 11/18; 19/25; 7/10; 9/13; 8/11; 7/10; ; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 11/4; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 14/5; 14/5; ; 11/4; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 27/10; 27/10; 14/5; 11/4; ; 11/4; 14/5; 14/5
Sevilla; 15/4; 18/5; 19/5; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 18/5; 15/4; 15/4; ; 4; 4; 17/4; 7/2; 21/5; 17/4; 22/5; 7/2; 21/5; 15/4; 17/4; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-14 08:18:13 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 7/10; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 7/10; 7/10; ; 7/10; 8/11; 11/18; 13/18; 4/6; 11/18; 3/4; 7/10; 9/13; 8/11; 7/10; ; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 11/4; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 14/5; 14/5; ; 11/4; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 27/10; 27/10; 14/5; 11/4; ; 11/4; 14/5; 14/5
Sevilla; 15/4; 18/5; 19/5; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 18/5; 15/4; 15/4; ; 4; 4; 17/4; 7/2; 21/5; 17/4; 9/2; 7/2; 21/5; 15/4; 17/4; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-14 12:19:18 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 7/10; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 7/10; 7/10; ; 7/10; 8/11; 11/18; 13/18; 4/6; 11/18; 3/4; 7/10; 9/13; 8/11; 7/10; ; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 11/4; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 14/5; 14/5; ; 11/4; 14/5; 14/5; 14/5; 27/10; 14/5; 72/25; 27/10; 27/10; 14/5; 11/4; ; 11/4; 14/5; 14/5
Sevilla; 15/4; 18/5; 19/5; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 18/5; 15/4; 15/4; ; 4; 4; 17/4; 7/2; 21/5; 17/4; 22/5; 7/2; 21/5; 15/4; 17/4; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-14 16:18:22 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 7/10; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 8/11; 7/10; ; 7/10; 8/11; 11/18; 13/18; 4/6; 11/18; 3/4; 7/10; 9/13; 8/11; 7/10; ; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 11/4; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 11/4; 14/5; ; 11/4; 14/5; 14/5; 14/5; 27/10; 14/5; 72/25; 27/10; 27/10; 14/5; 11/4; ; 27/10; 14/5; 14/5
Sevilla; 15/4; 18/5; 15/4; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 7/2; 15/4; 15/4; ; 4; 4; 21/5; 7/2; 21/5; 21/5; 22/5; 7/2; 21/5; 15/4; 17/4; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-14 20:18:53 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/6; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 8/11; 7/10; ; 7/10; 8/11; 11/18; 13/18; 4/6; 11/18; 3/4; 7/10; 9/13; 8/11; 7/10; ; 4/6; 4/6; 8/11
Draw; 14/5; 11/4; 27/10; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 11/4; 14/5; ; 11/4; 14/5; 37/13; 14/5; 27/10; 37/13; 72/25; 27/10; 27/10; 14/5; 11/4; ; 27/10; 27/10; 14/5
Sevilla; 15/4; 18/5; 19/5; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 18/5; 15/4; 15/4; ; 4; 4; 43/10; 7/2; 21/5; 43/10; 22/5; 7/2; 21/5; 15/4; 17/4; ; 7/2; 7/2; 21/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-15 00:18:36 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/6; 8/11; 7/10; 8/11; 7/10; 8/11; 4/6; 8/11; 4/6; 4/6; 4/6; 7/10; 4/6; ; 7/10; 7/10; 10/17; 11/17; 4/6; 10/17; 3/4; 4/6; 9/13; 7/10; 7/10; ; 4/6; 4/6; 4/6
Draw; 14/5; 11/4; 11/4; 11/4; 3; 3; 3; 5/2; 14/5; 13/5; 13/5; 13/5; 57/20; ; 11/4; 3; 29/10; 29/10; 27/10; 29/10; 72/25; 14/5; 27/10; 14/5; 11/4; ; 11/4; 14/5; 14/5
Sevilla; 15/4; 18/5; 4; 4; 4; 19/5; 4; 16/5; 19/5; 4; 15/4; 4; 4; ; 4; 4; 49/11; 15/4; 21/5; 49/11; 22/5; 39/11; 21/5; 4; 17/4; ; 7/2; 7/2; 9/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-15 04:18:16 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/6; 8/11; 7/10; 8/11; 7/10; 7/10; 4/6; 8/11; 4/6; 4/6; 4/6; 7/10; 4/6; ; 7/10; 8/11; 10/17; 11/17; 4/6; 10/17; 3/4; 11/17; 9/13; 7/10; 7/10; ; 4/7; 8/13; 4/6
Draw; 14/5; 11/4; 11/4; 11/4; 3; 3; 3; 5/2; 14/5; 11/4; 13/5; 13/5; 57/20; ; 14/5; 14/5; 29/10; 29/10; 27/10; 29/10; 72/25; 14/5; 27/10; 14/5; 11/4; ; 11/4; 14/5; 3
Sevilla; 15/4; 18/5; 4; 4; 4; 4; 4; 16/5; 19/5; 17/4; 15/4; 4; 4; ; 4; 4; 50/11; 15/4; 21/5; 50/11; 22/5; 62/17; 21/5; 4; 17/4; ; 21/5; 4; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-15 08:18:13 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/6; 8/11; 7/10; 8/11; 7/10; 7/10; 4/6; 8/11; 4/6; 4/6; 4/6; 7/10; 4/6; ; 7/10; 7/10; 10/17; 11/17; 4/6; 10/17; 3/4; 11/17; 9/13; 4/6; 7/10; ; 4/7; 8/13; 4/6
Draw; 11/4; 11/4; 11/4; 11/4; 3; 3; 3; 5/2; 14/5; 11/4; 13/5; 11/4; 57/20; ; 14/5; 3; 29/10; 29/10; 27/10; 29/10; 72/25; 14/5; 27/10; 14/5; 11/4; ; 11/4; 14/5; 3
Sevilla; 4; 18/5; 4; 4; 4; 4; 4; 16/5; 19/5; 17/4; 15/4; 4; 4; ; 4; 4; 50/11; 15/4; 21/5; 50/11; 22/5; 62/17; 21/5; 17/4; 17/4; ; 4; 4; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-15 12:20:10 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/6; 7/10; 7/10; 8/11; 7/10; 7/10; 4/6; 8/11; 4/6; 4/6; 4/6; 7/10; 4/6; ; 7/10; 7/10; 10/17; 11/17; 4/6; 10/17; 71/100; 11/17; 9/13; 4/6; 7/10; ; 4/7; 8/13; 4/6
Draw; 11/4; 14/5; 11/4; 11/4; 3; 3; 3; 5/2; 14/5; 11/4; 13/5; 11/4; 57/20; ; 14/5; 3; 29/10; 29/10; 27/10; 29/10; 74/25; 14/5; 27/10; 14/5; 11/4; ; 11/4; 14/5; 3
Sevilla; 4; 19/5; 4; 4; 4; 4; 4; 16/5; 19/5; 17/4; 15/4; 4; 4; ; 4; 4; 50/11; 15/4; 21/5; 50/11; 23/5; 62/17; 21/5; 17/4; 17/4; ; 21/5; 4; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-15 16:18:51 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/6; 7/10; 7/10; 8/11; 7/10; 7/10; 4/6; 4/6; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 10/17; 11/17; 4/6; 10/17; 71/100; 11/17; 9/13; 4/6; 7/10; ; 8/13; 8/13; 4/6
Draw; 11/4; 14/5; 11/4; 11/4; 3; 3; 3; 11/4; 14/5; 11/4; 14/5; 11/4; 57/20; 29/10; 14/5; 3; 29/10; 29/10; 27/10; 29/10; 74/25; 14/5; 27/10; 14/5; 11/4; ; 11/4; 14/5; 3
Sevilla; 4; 19/5; 4; 4; 4; 4; 4; 7/2; 19/5; 17/4; 4; 4; 4; 19/5; 4; 4; 50/11; 15/4; 21/5; 50/11; 23/5; 62/17; 21/5; 17/4; 17/4; ; 4; 4; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-15 20:18:52 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/6; 7/10; 7/10; 8/11; 7/10; 7/10; 4/6; 8/11; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 8/13; 11/17; 4/6; 8/13; 71/100; 11/17; 9/13; 4/6; 7/10; ; 8/13; 4/6; 4/6
Draw; 11/4; 14/5; 11/4; 11/4; 3; 3; 3; 5/2; 14/5; 11/4; 14/5; 11/4; 57/20; 29/10; 14/5; 3; 29/10; 29/10; 27/10; 29/10; 74/25; 14/5; 27/10; 14/5; 11/4; ; 11/4; 14/5; 3
Sevilla; 4; 19/5; 4; 4; 4; 4; 4; 16/5; 19/5; 17/4; 4; 4; 4; 19/5; 4; 4; 74/17; 15/4; 21/5; 74/17; 23/5; 62/17; 21/5; 4; 17/4; ; 4; 4; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-16 00:21:16 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 4/6; 7/10; 7/10; 8/11; 7/10; 7/10; 4/6; 8/11; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 10/17; 11/17; 4/6; 10/17; 71/100; 11/17; 9/13; 4/6; 7/10; ; 4/6; 8/13; 4/6
Draw; 11/4; 14/5; 11/4; 11/4; 3; 3; 3; 5/2; 14/5; 11/4; 14/5; 13/5; 57/20; 29/10; 14/5; 3; 56/19; 29/10; 27/10; 56/19; 74/25; 14/5; 27/10; 14/5; 11/4; ; 11/4; 14/5; 14/5
Sevilla; 4; 19/5; 4; 4; 4; 4; 4; 16/5; 19/5; 17/4; 4; 4; 4; 19/5; 4; 4; 79/17; 15/4; 21/5; 79/17; 23/5; 62/17; 21/5; 4; 17/4; ; 4; 21/5; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-16 04:18:23 GMT+2; 2017-03-19 15:15; e70300-dr003
Atletico Madrid; 7/10; 7/10; 7/10; 8/11; 7/10; 7/10; 4/6; 8/11; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 10/17; 11/17; 4/6; 10/17; 7/10; 11/17; 9/13; 7/10; 7/10; ; 4/6; 8/13; 4/6
