META; champions-league/borussia-dortmund-v-monaco; 2017-03-17 14:15:11 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; ; ; ; ; ; ; ; ; 4/6; 13/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; 3; 3; ; ; ; ; ; ; 31/10; ; ; ; ; ; ; ; ; ; ; ; 
Monaco; ; ; ; ; ; ; ; ; 7/2; 15/4; ; ; ; ; ; ; 75/19; ; ; ; ; ; ; ; ; ; ; ; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-17 18:15:03 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 7/10; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 13/20; 4/6; 8/13; 8/13; 13/20; 13/20; 7/10; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; 6/10; 11/17; ; 4/7; 4/7; 
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 4/6; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 58/19; 71/20; 57/17; 3; 3; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 75/19; 4; 4; 50/13; 41/10; 7/2; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-27 02:15:01 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 75/19; 4; 4; 75/19; 41/10; 7/2; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-27 06:15:01 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 13/20; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 15/4; 4; 7/2; 7/2; 75/19; 4; 4; 75/19; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-27 10:15:01 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 75/19; 4; 4; 75/19; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-27 14:15:01 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 3; 
Monaco; 17/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 7/2; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-27 18:15:01 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 3; 3; 10/3
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 4; 4; 4; 4; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-27 22:15:01 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 3; 14/5; 10/3
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-28 02:15:01 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 3; 14/5; 10/3
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-28 06:15:00 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 14/5; 10/3
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-28 10:15:00 GMT+2; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 3; 14/5; 10/3
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-28 14:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 3; 10/3
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-28 18:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 3; 10/3
Monaco; 17/4; 15/4; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-28 22:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 3; 10/3
Monaco; 17/4; 15/4; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 7/2; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-29 02:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 14/5; 10/3
Monaco; 17/4; 15/4; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-29 06:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 14/5; 10/3
Monaco; 17/4; 15/4; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-29 10:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 8/13; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 14/5; 10/3
Monaco; 17/4; 18/5; 15/4; 7/2; 4; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-29 14:15:02 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 14/5; 10/3
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-29 18:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 14/5; 10/3
Monaco; 17/4; 15/4; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-29 22:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 14/5; 10/3
Monaco; 17/4; 15/4; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-30 02:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 14/5; 10/3
Monaco; 17/4; 15/4; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-30 06:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 14/5; 10/3
Monaco; 17/4; 15/4; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-30 10:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 14/5; 10/3
Monaco; 17/4; 15/4; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-30 14:15:02 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 3; 3; 10/3
Monaco; 15/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-30 18:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 3; 3; 10/3
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-30 22:15:00 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 4/6; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 3; 14/5; 10/3
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-31 02:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 4/6; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 14/5; 14/5; 10/3
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-31 06:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 4/6; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 14/5; 14/5; 10/3
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-31 10:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
Borussia Dortmund; 8/13; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 4/6; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 14/5; 14/5; 10/3
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-31 14:15:01 GMT+3; 2017-04-11 19:45; Nothing; Xlenovo
