META; english/premier-league/watford-v-sunderland; 2017-03-11 22:16:10 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; ; ; 5/6; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; 10/11; ; ; 20/21; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; 12/5; ; ; 51/20; ; ; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; 3; ; ; 69/20; ; ; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-12 02:16:08 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; ; ; 5/6; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; 10/11; ; ; 20/21; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; 12/5; ; ; 51/20; ; ; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; 3; ; ; 69/20; ; ; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-12 06:16:09 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; ; ; 5/6; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; 10/11; ; ; 20/21; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; 12/5; ; ; 51/20; ; ; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; 3; ; ; 69/20; ; ; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-12 10:16:19 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; ; ; 5/6; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; 10/11; ; ; 20/21; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; 12/5; ; ; 51/20; ; ; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; 3; ; ; 69/20; ; ; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-12 14:16:12 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; ; ; 5/6; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; ; 10/11; ; ; 20/21; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; ; 12/5; ; ; 51/20; ; ; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; ; 3; ; ; 69/20; ; ; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-12 18:16:17 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; ; ; 5/6; ; ; ; ; 19/20; 10/11; ; ; ; ; ; ; ; 10/11; 10/11; ; 10/11; 20/21; ; ; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; ; 23/10; 5/2; ; ; ; ; ; ; ; 12/5; 12/5; ; 12/5; 51/20; ; ; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; ; 11/4; 3; ; ; ; ; ; ; ; 3; 3; ; 3; 69/20; ; ; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-12 22:16:17 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; ; ; 5/6; ; ; ; 20/23; 19/20; 5/6; ; ; ; ; ; ; 10/11; 10/11; 10/11; 9/10; 10/11; 9/10; ; 9/10; ; ; ; ; 
Draw; ; ; 12/5; ; ; ; 12/5; 23/10; 13/5; ; ; ; ; ; ; 5/2; 12/5; 12/5; 12/5; 12/5; 131/50; ; 12/5; ; ; ; ; 
Sunderland; ; ; 3; ; ; ; 33/10; 11/4; 7/2; ; ; ; ; ; ; 31/10; 31/10; 3; 3; 31/10; 37/10; ; 16/5; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-13 02:16:27 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; ; 5/6; ; 17/20; ; 20/23; 19/20; 5/6; 5/6; 5/6; ; ; ; ; 10/11; 13/15; 11/13; 9/10; 13/15; 9/10; ; 9/10; ; ; ; ; 
Draw; 12/5; ; 12/5; ; 12/5; ; 5/2; 23/10; 13/5; 5/2; 23/10; ; ; ; ; 12/5; 12/5; 12/5; 12/5; 12/5; 131/50; ; 12/5; ; ; ; ; 
Sunderland; 10/3; ; 3; ; 7/2; ; 15/4; 11/4; 7/2; 10/3; 16/5; ; ; ; ; 10/3; 16/5; 16/5; 3; 16/5; 37/10; ; 16/5; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-13 06:16:41 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; ; 5/6; ; 17/20; ; 20/23; 19/20; 5/6; 5/6; 5/6; ; ; ; ; 10/11; 13/15; 11/13; 9/10; 13/15; 9/10; ; 9/10; ; ; ; ; 
Draw; 12/5; ; 12/5; ; 12/5; ; 5/2; 23/10; 13/5; 5/2; 23/10; ; ; ; ; 12/5; 12/5; 12/5; 12/5; 12/5; 131/50; ; 12/5; ; ; ; ; 
Sunderland; 10/3; ; 3; ; 7/2; ; 15/4; 11/4; 7/2; 10/3; 16/5; ; ; ; ; 10/3; 16/5; 16/5; 3; 16/5; 37/10; ; 16/5; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-13 10:16:10 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; ; 5/6; ; 9/10; ; 20/23; 19/20; 5/6; 5/6; 5/6; ; ; ; 17/20; 10/11; 13/15; 11/13; 9/10; 13/15; 9/10; ; 9/10; ; ; ; ; 
Draw; 12/5; ; 12/5; ; 5/2; ; 5/2; 23/10; 13/5; 5/2; 23/10; ; ; ; 13/5; 12/5; 12/5; 12/5; 12/5; 12/5; 131/50; ; 12/5; ; ; ; ; 
Sunderland; 10/3; ; 3; ; 18/5; ; 15/4; 11/4; 7/2; 10/3; 16/5; ; ; ; 10/3; 10/3; 16/5; 16/5; 3; 16/5; 37/10; ; 16/5; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-13 14:16:15 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; ; 17/20; ; 17/20; ; 20/23; 19/20; 5/6; 5/6; 5/6; ; ; ; 17/20; 10/11; 10/11; 11/13; 9/10; 10/11; 89/100; 7/8; 9/10; ; ; ; ; 
Draw; 12/5; ; 49/20; ; 5/2; ; 5/2; 23/10; 13/5; 5/2; 23/10; ; ; ; 13/5; 12/5; 12/5; 12/5; 12/5; 12/5; 64/25; 27/11; 12/5; ; ; ; ; 
Sunderland; 10/3; ; 7/2; ; 18/5; ; 19/5; 11/4; 7/2; 10/3; 16/5; ; ; ; 10/3; 10/3; 16/5; 16/5; 3; 16/5; 19/5; 17/5; 16/5; ; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-13 18:16:46 GMT+2; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; ; 17/20; ; 17/20; ; 20/23; 19/20; 5/6; 5/6; 4/5; ; ; ; 17/20; 11/13; 5/6; 11/13; 5/6; 5/6; 89/100; 7/8; 11/13; ; 11/13; ; ; ; 
META; english/premier-league/watford-v-sunderland; 2017-03-29 14:16:00 GMT+3; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 5/6; 17/20; 17/20; 5/6; 9/10; 9/10; 20/23; 5/6; 5/6; 17/20; 17/20; 20/23; 17/20; 10/11; 10/11; 11/13; 13/15; 4/5; 9/10; 13/15; 10/11; 6/7; 9/10; 10/11; 9/10; ; ; 5/6; 10/11
Draw; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; 13/5; 5/2; 13/5; 23/10; 5/2; 23/10; 49/20; 12/5; 12/5; 5/2; 27/11; 5/2; 12/5; 27/11; 13/5; 12/5; 27/11; 5/2; 27/11; ; ; 12/5; 5/2
Sunderland; 16/5; 10/3; 17/5; 17/5; 10/3; 7/2; 18/5; 10/3; 7/2; 10/3; 10/3; 10/3; 10/3; 18/5; 10/3; 7/2; 7/2; 10/3; 7/2; 7/2; 18/5; 39/11; 7/2; 10/3; 7/2; ; ; 10/3; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-29 18:15:44 GMT+3; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 5/6; 17/20; 17/20; 5/6; 9/10; 9/10; 20/23; 5/6; 5/6; 17/20; 17/20; 20/23; 17/20; 10/11; 10/11; 11/13; 13/15; 4/5; 5/6; 13/15; 10/11; 7/8; 11/13; 17/20; 7/8; ; ; 5/6; 5/6
Draw; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; 13/5; 5/2; 13/5; 12/5; 5/2; 23/10; 49/20; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 27/11; 5/2; 5/2; 28/11; ; ; 12/5; 5/2
Sunderland; 16/5; 10/3; 17/5; 17/5; 10/3; 7/2; 18/5; 10/3; 7/2; 7/2; 10/3; 10/3; 10/3; 18/5; 10/3; 7/2; 18/5; 10/3; 7/2; 18/5; 18/5; 18/5; 37/10; 10/3; 15/4; ; ; 10/3; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-29 22:15:40 GMT+3; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 5/6; 17/20; 17/20; 5/6; 5/6; 9/10; 17/20; 5/6; 5/6; 5/6; 4/5; 5/6; 5/6; 17/20; 5/6; 5/6; 13/15; 4/5; 5/6; 13/15; 10/11; 16/19; 11/13; 17/20; 7/8; ; ; 5/6; 5/6
Draw; 13/5; 5/2; 49/20; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 12/5; 5/2; 9/4; 49/20; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 27/11; 5/2; 5/2; 28/11; ; ; 12/5; 5/2
Sunderland; 16/5; 10/3; 18/5; 17/5; 7/2; 7/2; 15/4; 10/3; 7/2; 7/2; 7/2; 15/4; 7/2; 15/4; 15/4; 7/2; 18/5; 10/3; 7/2; 18/5; 18/5; 15/4; 37/10; 10/3; 15/4; ; ; 7/2; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-30 02:15:47 GMT+3; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 5/6; 17/20; 17/20; 5/6; 5/6; 9/10; 17/20; 5/6; 5/6; 5/6; 4/5; 5/6; 5/6; 17/20; 5/6; 5/6; 13/15; 4/5; 5/6; 13/15; 10/11; 16/19; 11/13; 17/20; 7/8; ; ; 5/6; 5/6
Draw; 13/5; 5/2; 49/20; 5/2; 13/5; 5/2; 13/5; 5/2; 13/5; 12/5; 5/2; 9/4; 49/20; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 28/11; ; ; 5/2; 5/2
Sunderland; 16/5; 10/3; 18/5; 17/5; 7/2; 7/2; 15/4; 10/3; 7/2; 7/2; 7/2; 15/4; 7/2; 15/4; 15/4; 7/2; 18/5; 10/3; 7/2; 18/5; 18/5; 62/17; 37/10; 10/3; 15/4; ; ; 10/3; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-30 06:15:41 GMT+3; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 5/6; 17/20; 17/20; 5/6; 5/6; 9/10; 17/20; 5/6; ; 5/6; 4/5; 5/6; 5/6; 17/20; 5/6; 5/6; 13/15; 4/5; 5/6; 13/15; 10/11; 16/19; 11/13; 17/20; 7/8; ; ; 5/6; 5/6
Draw; 13/5; 5/2; 49/20; 5/2; 5/2; 5/2; 13/5; 5/2; ; 12/5; 5/2; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 28/11; ; ; 12/5; 5/2
Sunderland; 16/5; 10/3; 18/5; 17/5; 7/2; 7/2; 15/4; 10/3; ; 7/2; 7/2; 10/3; 7/2; 15/4; 15/4; 7/2; 18/5; 10/3; 7/2; 18/5; 18/5; 62/17; 37/10; 10/3; 15/4; ; ; 10/3; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-30 10:15:41 GMT+3; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 5/6; 17/20; 17/20; 5/6; 5/6; 9/10; 17/20; 5/6; 5/6; 5/6; 4/5; 5/6; 5/6; 17/20; 5/6; 5/6; 13/15; 4/5; 5/6; 13/15; 9/10; 11/13; 11/13; 17/20; 7/8; ; ; 5/6; 5/6
Draw; 13/5; 5/2; 49/20; 5/2; 5/2; 5/2; 13/5; 5/2; 13/5; 12/5; 5/2; 12/5; 49/20; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 28/11; ; ; 5/2; 5/2
Sunderland; 16/5; 10/3; 18/5; 17/5; 7/2; 7/2; 15/4; 10/3; 7/2; 7/2; 7/2; 10/3; 7/2; 15/4; 15/4; 7/2; 18/5; 10/3; 7/2; 18/5; 37/10; 62/17; 37/10; 10/3; 15/4; ; ; 10/3; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-30 14:15:57 GMT+3; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 5/6; 17/20; 17/20; 5/6; 5/6; 9/10; 17/20; 5/6; 5/6; 4/5; 4/5; 5/6; 17/20; 17/20; 5/6; 5/6; 5/6; 4/5; 5/6; 5/6; 9/10; 11/13; 11/13; 17/20; 7/8; ; ; 5/6; 5/6
Draw; 13/5; 12/5; 49/20; 13/5; 5/2; 5/2; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 51/20; 5/2; 12/5; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 28/11; ; ; 5/2; 13/5
Sunderland; 16/5; 10/3; 7/2; 7/2; 7/2; 7/2; 18/5; 10/3; 7/2; 7/2; 7/2; 10/3; 7/2; 18/5; 15/4; 7/2; 62/17; 10/3; 7/2; 62/17; 37/10; 62/17; 37/10; 10/3; 15/4; ; ; 7/2; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-30 18:15:38 GMT+3; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 5/6; 17/20; 17/20; 5/6; 5/6; 9/10; 17/20; 5/6; 5/6; 4/5; 4/5; 5/6; 17/20; 17/20; 4/5; 5/6; 5/6; 4/5; 5/6; 5/6; 9/10; 11/13; 11/13; 5/6; 7/8; ; ; 5/6; 5/6
Draw; 13/5; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 51/20; 13/5; 5/2; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 28/11; ; ; 5/2; 27/10
Sunderland; 16/5; 10/3; 37/10; 7/2; 7/2; 7/2; 19/5; 10/3; 7/2; 7/2; 7/2; 7/2; 7/2; 19/5; 15/4; 7/2; 62/17; 10/3; 7/2; 62/17; 37/10; 62/17; 37/10; 7/2; 15/4; ; ; 7/2; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-30 22:15:58 GMT+3; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 5/6; 4/5; 17/20; 5/6; 5/6; 17/20; 17/20; 5/6; 5/6; 4/5; 4/5; 5/6; 5/6; 17/20; 4/5; 5/6; 5/6; 4/5; 4/5; 5/6; 17/20; 11/13; 13/16; 17/20; 16/19; ; ; 4/5; 5/6
Draw; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 51/20; 13/5; 5/2; 5/2; 13/5; 5/2; 13/5; 13/5; 27/10; 5/2; 13/5; 13/5; 45/17; ; ; 5/2; 27/10
Sunderland; 16/5; 7/2; 37/10; 7/2; 7/2; 37/10; 19/5; 10/3; 7/2; 7/2; 7/2; 7/2; 7/2; 19/5; 15/4; 7/2; 62/17; 10/3; 7/2; 62/17; 19/5; 62/17; 15/4; 7/2; 19/5; ; ; 7/2; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-31 02:15:52 GMT+3; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 5/6; 5/6; 17/20; 17/20; 5/6; 5/6; 4/5; 4/5; 5/6; 5/6; 17/20; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; 17/20; 11/13; 13/16; 17/20; 16/19; ; ; 5/6; 5/6
Draw; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 51/20; 13/5; 5/2; 5/2; 13/5; 5/2; 13/5; 13/5; 27/10; 5/2; 13/5; 13/5; 45/17; ; ; 5/2; 27/10
Sunderland; 15/4; 7/2; 37/10; 7/2; 7/2; 37/10; 19/5; 10/3; 7/2; 7/2; 7/2; 7/2; 7/2; 19/5; 15/4; 7/2; 37/10; 10/3; 7/2; 37/10; 19/5; 62/17; 15/4; 7/2; 19/5; ; ; 7/2; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-31 06:15:40 GMT+3; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 5/6; 5/6; 17/20; 17/20; 5/6; 5/6; 4/5; 4/5; 5/6; 5/6; 17/20; 4/5; 5/6; 5/6; 5/6; 4/5; 5/6; 17/20; 11/13; 13/16; 17/20; 16/19; ; ; 4/5; 5/6
Draw; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 51/20; 13/5; 5/2; 5/2; 13/5; 13/5; 13/5; 13/5; 27/10; 5/2; 13/5; 13/5; 45/17; ; ; 5/2; 13/5
Sunderland; 15/4; 7/2; 37/10; 7/2; 7/2; 37/10; 19/5; 10/3; 7/2; 10/3; 7/2; 7/2; 7/2; 19/5; 15/4; 7/2; 18/5; 7/2; 7/2; 18/5; 19/5; 62/17; 15/4; 7/2; 19/5; ; ; 7/2; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-31 10:15:42 GMT+3; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 5/6; 5/6; 17/20; 17/20; 5/6; 5/6; 4/5; 4/5; 5/6; 5/6; 17/20; 17/20; 5/6; 5/6; 5/6; 4/5; 5/6; 17/20; 11/13; 13/16; 17/20; 16/19; ; ; 5/6; 5/6
Draw; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; 51/20; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 27/10; 5/2; 13/5; 13/5; 45/17; ; ; 13/5; 13/5
Sunderland; 15/4; 7/2; 37/10; 7/2; 7/2; 18/5; 19/5; 10/3; 7/2; 10/3; 7/2; 7/2; 7/2; 19/5; 18/5; 7/2; 18/5; 7/2; 7/2; 18/5; 19/5; 62/17; 15/4; 7/2; 19/5; ; ; 7/2; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-31 14:16:06 GMT+3; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 17/20; 5/6; 17/20; 17/20; 5/6; 5/6; 4/5; 5/6; 5/6; 5/6; 17/20; 17/20; 5/6; 4/5; 5/6; 4/5; 4/5; 43/50; 5/6; 13/16; 17/20; 16/19; ; ; 5/6; 5/6
Draw; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 5/2; 13/5; 13/5; 51/20; 13/5; 13/5; 13/5; 45/17; 13/5; 13/5; 45/17; 27/10; 5/2; 13/5; 13/5; 45/17; ; ; 13/5; 27/10
Sunderland; 15/4; 7/2; 15/4; 7/2; 7/2; 18/5; 19/5; 10/3; 7/2; 7/2; 7/2; 7/2; 7/2; 19/5; 18/5; 7/2; 37/10; 7/2; 7/2; 37/10; 15/4; 15/4; 15/4; 7/2; 19/5; ; ; 7/2; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-31 18:16:07 GMT+3; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 17/20; 17/20; 17/20; 17/20; 5/6; 5/6; 4/5; 5/6; 20/23; 5/6; 17/20; 17/20; 5/6; 5/6; 5/6; 4/5; 5/6; 43/50; 16/19; 13/16; 17/20; 16/19; ; ; 5/6; 5/6
Draw; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 5/2; 51/20; 5/2; 13/5; 13/5; 28/11; 13/5; 13/5; 28/11; 27/10; 28/11; 13/5; 5/2; 45/17; ; ; 13/5; 13/5
Sunderland; 15/4; 7/2; 15/4; 7/2; 7/2; 18/5; 19/5; 7/2; 7/2; 7/2; 7/2; 7/2; 7/2; 19/5; 18/5; 7/2; 62/17; 7/2; 7/2; 62/17; 15/4; 37/10; 15/4; 15/4; 19/5; ; ; 7/2; 7/2
META; english/premier-league/watford-v-sunderland; 2017-03-31 22:16:09 GMT+3; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 17/20; 4/5; 17/20; 17/20; 17/20; 17/20; 17/20; 5/6; 5/6; 5/6; 17/20; 20/23; 5/6; 10/11; 17/20; 5/6; 5/6; 5/6; 4/5; 5/6; 43/50; 16/19; 9/11; 17/20; 11/13; ; ; 5/6; 5/6
Draw; 13/5; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 5/2; 51/20; 5/2; 13/5; 13/5; 28/11; 13/5; 13/5; 28/11; 27/10; 28/11; 13/5; 5/2; 45/17; ; ; 13/5; 13/5
Sunderland; 15/4; 7/2; 37/10; 7/2; 7/2; 18/5; 19/5; 7/2; 7/2; 10/3; 7/2; 7/2; 7/2; 19/5; 18/5; 7/2; 18/5; 7/2; 7/2; 18/5; 15/4; 37/10; 18/5; 7/2; 37/10; ; ; 7/2; 7/2
META; english/premier-league/watford-v-sunderland; 2017-04-01 02:16:27 GMT+3; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 10/11; 17/20; 9/10; 17/20; 17/20; 17/20; 20/23; 5/6; 5/6; 17/20; 17/20; 20/23; 17/20; 10/11; 17/20; 11/13; 13/15; 5/6; 4/5; 13/15; 43/50; 16/19; 9/11; 10/11; 11/13; ; 5/6; 5/6; 10/11
Draw; 13/5; 5/2; 5/2; 13/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 5/2; 51/20; 5/2; 13/5; 13/5; 28/11; 13/5; 13/5; 28/11; 27/10; 28/11; 13/5; 5/2; 45/17; ; 5/2; 13/5; 13/5
Sunderland; 7/2; 10/3; 18/5; 7/2; 7/2; 18/5; 15/4; 7/2; 7/2; 10/3; 7/2; 7/2; 7/2; 19/5; 18/5; 7/2; 7/2; 7/2; 7/2; 7/2; 15/4; 37/10; 18/5; 7/2; 37/10; ; 7/2; 10/3; 7/2
META; english/premier-league/watford-v-sunderland; 2017-04-01 06:16:40 GMT+3; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 10/11; 17/20; 9/10; 17/20; 17/20; 17/20; 20/23; 5/6; ; 17/20; 17/20; 20/23; 17/20; 10/11; 10/11; 11/13; 13/15; 5/6; 4/5; 10/11; 43/50; 6/7; 9/11; 10/11; 11/13; ; ; 5/6; 10/11
Draw; 13/5; 5/2; 5/2; 13/5; 5/2; 13/5; 13/5; 13/5; ; 5/2; 13/5; 13/5; 51/20; 5/2; 13/5; 13/5; 28/11; 13/5; 13/5; 27/11; 27/10; 5/2; 13/5; 5/2; 45/17; ; ; 5/2; 13/5
Sunderland; 7/2; 10/3; 18/5; 7/2; 7/2; 18/5; 15/4; 7/2; ; 16/5; 7/2; 7/2; 7/2; 19/5; 18/5; 7/2; 38/11; 7/2; 7/2; 7/2; 15/4; 39/11; 18/5; 7/2; 37/10; ; ; 10/3; 7/2
META; english/premier-league/watford-v-sunderland; 2017-04-01 10:16:37 GMT+3; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 19/20; 19/20; 1; 19/20; 20/21; 19/20; 20/21; 19/20; 10/11; 10/11; 19/20; 20/21; ; 1; 19/20; 19/20; 19/20; 9/10; 10/11; 19/20; 49/50; 22/23; 11/12; 19/20; 19/20; ; ; 20/21; 20/21
Draw; 13/5; 12/5; 49/20; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; ; 12/5; 13/5; 5/2; 28/11; 5/2; 13/5; 28/11; 13/5; 27/11; 13/5; 12/5; 45/17; ; ; 5/2; 5/2
Sunderland; 10/3; 3; 16/5; 16/5; 7/2; 16/5; 10/3; 3; 3; 3; 16/5; 16/5; ; 17/5; 16/5; 31/10; 41/13; 16/5; 3; 41/13; 13/4; 31/10; 31/10; 16/5; 16/5; ; ; 3; 10/3
META; english/premier-league/watford-v-sunderland; 2017-04-01 14:16:44 GMT+3; 2017-04-01 15:00; Nothing; Xlenovo
Watford; 19/20; 19/20; 19/20; 17/20; 20/21; 19/20; 20/21; 19/20; 10/11; 19/20; 19/20; 20/21; 10/11; 1; 19/20; 1; 19/20; 10/11; 10/11; 19/20; 49/50; 28/29; 11/12; 19/20; 19/20; ; 10/11; 20/21; 20/21
Draw; 13/5; 12/5; 49/20; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 13/5; 5/2; 5/2; 13/5; 5/2; 13/5; 27/11; 13/5; 12/5; 45/17; ; 5/2; 5/2; 13/5
Sunderland; 16/5; 3; 10/3; 7/2; 10/3; 16/5; 10/3; 3; 3; 3; 16/5; 16/5; 16/5; 7/2; 16/5; 16/5; 41/13; 31/10; 3; 41/13; 13/4; 41/13; 31/10; 16/5; 16/5; ; 3; 3; 10/3
META; english/premier-league/watford-v-sunderland; 2017-04-01 18:41:20 GMT+3; 2017-04-01 15:00; In Play; Xlenovo
Watford; 1/8; 1/10; ; 1/9; ; 13/10; 2/15; 1/12; 10/11; 1/9; 1/8; 21/20; 1/8; 1; ; ; ; 1/11; ; ; ; ; ; ; ; ; ; 20/21; 1/6
Draw; 11/2; 13/2; ; 13/2; ; 6/5; 6; 13/2; 5/2; 13/2; 5; 6/4; 11/2; 12/5; ; ; ; 25/4; ; ; ; ; ; ; ; ; ; 12/5; 28/5
Sunderland; 40; 80; ; 40; ; 460/100; 33; 90; 3; 50; 28; 4; 55; 17/5; ; ; ; 80; ; ; ; ; ; ; ; ; ; 3; 54
