META; english/premier-league/everton-v-stoke; 2017-06-15 14:15:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 4/6; 8/11; 4/6; 4/6; 13/20; 3/4; 4/6; ; 4/7; 8/13; 3/4; 7/10; 4/6; 3/4; 4/6; 5/7; 4/6; 4/6; 5/7; 19/25; 13/17; 13/18; 4/6; 13/18; ; 4/9; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 12/5; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 15/4; 50/13; 4; 7/2; 50/13; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-26 10:19:55 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 3/4; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 12/5; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-26 10:24:40 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 3/4; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 12/5; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-26 14:20:41 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 3/4; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-26 14:25:43 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 3/4; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-26 18:18:52 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; ; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 3/4; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; ; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 18/5; 19/5; ; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-26 18:23:31 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; ; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 3/4; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; ; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 18/5; 19/5; ; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-26 22:18:08 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 3/4; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-26 22:22:52 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 3/4; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-27 02:19:01 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 3/4; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 20/21; ; 
META; english/premier-league/everton-v-stoke; 2017-06-27 02:23:39 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 3/4; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 20/21; ; 
META; english/premier-league/everton-v-stoke; 2017-06-27 10:19:23 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 3/4; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 20/21; ; 
META; english/premier-league/everton-v-stoke; 2017-06-27 10:24:05 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 7/10; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 3/4; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 13/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 4; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 20/21; ; 
META; english/premier-league/everton-v-stoke; 2017-06-27 14:20:21 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-27 14:25:10 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-27 18:21:08 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-27 18:25:53 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-27 22:20:14 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-27 22:24:57 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-28 02:20:03 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 11/4; 27/10; 11/4; 11/4; 73/25; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 15/4; 4; 7/2; 15/4; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-28 02:24:41 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 11/4; 27/10; 11/4; 11/4; 73/25; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 15/4; 4; 7/2; 15/4; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-28 10:20:03 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-28 10:24:40 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-28 14:20:26 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-28 14:25:15 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-28 18:18:00 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 4/5; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-28 18:22:48 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 37/50; 5/7; 13/18; 4/5; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 73/25; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-28 22:18:47 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-28 22:23:25 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 4/7; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 5/2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 10/3; ; 
META; english/premier-league/everton-v-stoke; 2017-06-29 02:18:56 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Everton; 4/6; 7/10; 8/11; 4/6; 4/6; 13/20; 8/11; 4/6; ; 7/10; 7/10; 8/11; 4/6; 4/6; 3/4; 7/10; 5/7; 4/6; 4/6; 5/7; 3/4; 5/7; 13/18; 4/5; 13/18; ; 2/15; ; 
Draw; 5/2; 13/5; 11/4; 13/5; 11/4; 5/2; 14/5; 5/2; ; 13/5; 13/5; 14/5; 27/10; 5/2; 11/4; 13/5; 27/10; 27/10; 11/4; 27/10; 29/10; 37/13; 11/4; 11/4; 11/4; ; 2; ; 
Stoke; 9/2; 18/5; 19/5; 7/2; 7/2; 9/2; 17/4; 4; ; 18/5; 18/5; 7/2; 4; 4; 15/4; 15/4; 19/5; 4; 7/2; 19/5; 22/5; 39/10; 37/10; 7/2; 15/4; ; 7/5; ; 
META; english/premier-league/everton-v-stoke; 2017-06-29 02:23:36 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
