META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-12 18:18:35 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/17; ; ; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; ; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-12 22:18:41 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/17; ; ; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7; ; ; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 18; ; ; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 02:19:14 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; 3/19; 2/17; ; 3/19; 7/50; ; ; ; ; ; ; 
Draw; ; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 96/17; 7; ; 96/17; 19/2; ; ; ; ; ; ; 
Alaves; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; ; 31/2; 18; ; 31/2; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 06:19:52 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 2/17; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 16; 57/4; 18; ; 57/4; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 10:18:08 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/9; ; ; ; 1/9; ; ; ; ; ; ; ; ; 1/9; 2/17; 2/17; ; 2/17; 7/50; ; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; ; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 17; ; ; ; ; ; ; ; ; 18; 29/2; 18; ; 29/2; 22; ; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 14:19:05 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/9; ; ; ; 1/10; ; ; ; ; ; ; ; ; 1/9; 2/17; 2/17; ; 2/17; 7/50; 1/9; ; ; ; ; ; 
Draw; 10; ; 11/2; ; ; ; 10; ; ; ; ; ; ; ; ; 10; 29/4; 7; ; 29/4; 19/2; 79/10; ; ; ; ; ; 
Alaves; 14; ; 18; ; ; ; 18; ; ; ; ; ; ; ; ; 18; 15; 18; ; 15; 22; 14; ; ; ; ; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-13 18:20:21 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; ; 1/8; ; ; ; 1/10; ; 1/9; ; ; ; ; ; 2/15; 1/9; 1/10; 2/17; ; 1/10; 7/50; 1/9; ; ; ; ; ; ; 
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-23 18:19:36 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 16; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-23 22:19:01 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 16; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-24 02:19:47 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 16; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-24 06:18:15 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 16; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-24 10:18:35 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 16; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-24 14:18:49 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 16; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-24 18:20:19 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 16; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-24 22:19:20 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 16; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-25 02:20:13 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 7; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 16; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-25 06:19:42 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 7; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 16; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-25 10:20:00 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 7; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 16; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-25 14:18:27 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/8; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 18; 20; 18; ; 20; 21; 17; 16; 20; 22; 18; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-25 18:20:41 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; ; 13/100; 1/10; 1/10; 1/9; 2/15; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; ; 9; 19/2; 8; 8; 8; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 16; 20; 18; ; 20; 21; 17; 16; 20; 22; 20; 20; 22; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-25 22:18:40 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 1/8; 1/10; 1/10; 1/9; 1/8; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; 10; 9; 19/2; 8; 8; 17/2; 8; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 16; 20; 18; 20; 20; 21; 17; 18; 20; 22; 20; 20; 20; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-26 02:19:44 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 1/8; 1/10; 1/10; 1/9; 1/8; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/7; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; 10; 9; 19/2; 8; 8; 17/2; 8; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 8; ; 41/5; ; 
Alaves; 14; 16; 20; 18; 20; 20; 21; 17; 18; 20; 22; 20; 20; 20; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 15; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-26 06:19:06 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 1/8; 1/10; 1/10; 1/9; 1/8; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 1/7; 1/10; 1/7; 1/8; 1/8; ; 2/15; ; 
Draw; 10; 15/2; 15/2; 15/2; 10; 9; 19/2; 8; 8; 17/2; 8; 15/2; 8; 8; 9; 17/2; 33/4; 8; 8; 33/4; 10; 8; 8; 15/2; 151/19; ; 41/5; ; 
Alaves; 14; 16; 20; 18; 20; 20; 21; 17; 18; 20; 22; 20; 20; 20; 14; 18; 65/4; 33/2; 15; 65/4; 19; 15; 15; 16; 33/2; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-26 10:18:53 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/10; 1/9; 1/8; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 2/15; 1/10; 1/7; 1/10; 1/8; 1/8; 1/8; ; 2/15; ; 
Draw; 10; 7; 15/2; 15/2; 10; 9; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 39/5; 33/4; 10; 8; 151/19; 15/2; 151/19; ; 41/5; ; 
Alaves; 14; 16; 20; 18; 20; 20; 21; 17; 18; 20; 22; 20; 20; 22; 14; 18; 33/2; 33/2; 33/2; 33/2; 19; 15; 33/2; 16; 33/2; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-26 14:19:43 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/10; 1/9; 1/8; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 2/15; 1/10; 7/50; 1/10; 1/8; 1/8; 1/8; ; 2/15; ; 
Draw; 10; 7; 15/2; 15/2; 10; 9; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 39/5; 33/4; 10; 8; 151/19; 15/2; 151/19; ; 41/5; ; 
Alaves; 14; 16; 20; 18; 20; 20; 21; 17; 18; 20; 22; 20; 20; 22; 14; 18; 33/2; 33/2; 33/2; 33/2; 20; 15; 33/2; 16; 33/2; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-26 18:20:19 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/10; 1/9; 1/8; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 2/15; 1/10; 7/50; 1/10; 1/8; 1/8; 1/8; ; 1/7; ; 
Draw; 10; 7; 15/2; 15/2; 10; 9; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 39/5; 33/4; 10; 8; 151/19; 15/2; 151/19; ; 41/5; ; 
Alaves; 14; 16; 20; 18; 20; 20; 21; 17; 18; 20; 22; 20; 20; 22; 14; 18; 33/2; 33/2; 33/2; 33/2; 20; 15; 33/2; 16; 33/2; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-26 22:19:00 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/10; 1/9; 1/8; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 2/15; 1/10; 1/7; 1/10; 1/8; 1/8; 1/8; ; 2/15; ; 
Draw; 10; 7; 15/2; 15/2; 10; 9; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 39/5; 33/4; 10; 8; 151/19; 15/2; 151/19; ; 41/5; ; 
Alaves; 14; 16; 20; 18; 20; 20; 21; 17; 18; 20; 22; 20; 20; 22; 14; 18; 33/2; 33/2; 33/2; 33/2; 19; 15; 33/2; 16; 33/2; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-27 02:19:38 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/10; 1/9; 1/8; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 2/15; 1/10; 2/15; 1/10; 1/8; 1/8; 1/8; ; 2/15; ; 
Draw; 10; 7; 15/2; 15/2; 10; 9; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 39/5; 33/4; 10; 8; 151/19; 15/2; 151/19; ; 41/5; ; 
Alaves; 14; 18; 20; 18; 20; 20; 21; 17; 18; 20; 22; 20; 20; 22; 14; 18; 33/2; 33/2; 33/2; 33/2; 22; 15; 33/2; 16; 33/2; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-27 06:18:15 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/10; ; 1/8; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 2/15; 1/10; 2/15; 1/10; 1/8; 1/8; 1/8; ; 2/15; ; 
Draw; 10; 7; 15/2; 15/2; 10; 9; 19/2; 8; ; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 39/5; 33/4; 10; 8; 151/19; 15/2; 151/19; ; 41/5; ; 
Alaves; 14; 18; 20; 18; 20; 20; 21; 17; ; 20; 22; 20; 20; 22; 14; 18; 33/2; 33/2; 33/2; 33/2; 22; 15; 33/2; 16; 33/2; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-27 10:18:14 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/10; 1/9; 1/8; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 2/15; 1/10; 13/100; 1/10; 1/8; 1/8; 1/8; ; 2/15; ; 
Draw; 10; 7; 15/2; 15/2; 10; 9; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 39/5; 33/4; 21/2; 8; 151/19; 15/2; 151/19; ; 41/5; ; 
Alaves; 14; 18; 20; 18; 20; 20; 21; 17; 18; 20; 22; 20; 20; 22; 14; 18; 33/2; 33/2; 33/2; 33/2; 22; 15; 33/2; 16; 33/2; ; 23; ; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-27 14:18:35 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 2/15; 1/10; 13/100; 1/10; 1/8; 1/8; 1/8; ; 2/15; 1/8; 
Draw; 10; 7; 15/2; 15/2; 10; 9; 19/2; 15/2; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 39/5; 33/4; 21/2; 8; 151/19; 15/2; 151/19; ; 9; 8; 
Alaves; 14; 18; 20; 18; 20; 20; 21; 18; 18; 20; 22; 20; 20; 22; 14; 18; 33/2; 33/2; 33/2; 33/2; 22; 15; 33/2; 16; 33/2; ; 23; 20; 
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-27 18:18:32 GMT+2; 2017-04-02 14:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 2/15; 1/10; 13/100; 1/10; 1/8; 1/8; 1/8; ; 2/15; 2/15; 1/7
Draw; 10; 15/2; 15/2; 15/2; 10; 9; 19/2; 15/2; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 39/5; 33/4; 21/2; 8; 151/19; 15/2; 151/19; ; 10; 46/5; 48/5
Alaves; 14; 18; 20; 18; 20; 20; 21; 18; 18; 20; 22; 20; 20; 22; 14; 18; 33/2; 33/2; 33/2; 33/2; 22; 15; 33/2; 16; 33/2; ; 24; 22; 23
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-27 22:18:40 GMT+2; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 13/100; 1/10; 1/7; 1/8; 1/7; ; 2/15; 2/15; 1/7
Draw; 10; 15/2; 15/2; 15/2; 10; 9; 19/2; 15/2; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 8; 8; 15/2; 8; 21/2; 8; 15/2; 17/2; 15/2; ; 10; 43/5; 48/5
Alaves; 14; 16; 20; 18; 20; 20; 21; 18; 18; 20; 22; 20; 20; 22; 14; 18; 65/4; 33/2; 17; 65/4; 22; 15; 33/2; 18; 17; ; 23; 22; 23
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-28 02:19:06 GMT+2; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 13/100; 1/10; 1/7; 1/8; 1/7; ; 2/15; 2/15; 1/7
Draw; 10; 15/2; 15/2; 15/2; 10; 9; 19/2; 15/2; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 8; 8; 15/2; 8; 21/2; 8; 15/2; 17/2; 15/2; ; 10; 43/5; 48/5
Alaves; 14; 16; 20; 18; 20; 20; 21; 18; 18; 20; 22; 20; 20; 22; 14; 18; 65/4; 33/2; 17; 65/4; 22; 15; 17; 18; 17; ; 23; 22; 23
META; spain/la-liga-primera/real-madrid-v-alaves; 2017-03-28 06:18:30 GMT+2; 2017-04-02 15:15; Nothing; Xlenovo
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/9; 1/9; 2/15; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 1/7; 1/10; 13/100; 1/10; 1/7; 1/8; 1/7; ; 2/15; 2/15; 1/7
Draw; 10; 15/2; 15/2; 15/2; 10; 9; 19/2; 15/2; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 15/2; 33/4; 21/2; 8; 15/2; 17/2; 15/2; ; 10; 43/5; 48/5
