META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-05 22:19:00 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 3/4; ; ; ; 4/5; ; ; 4/5; 4/5; ; 4/5; ; ; 4/5; 14/19; 10/11; ; 14/19; 17/20; ; ; ; ; 8/15; ; 
Sevilla; 16/5; ; 17/5; 16/5; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 3; 15/4; 16/5; ; 27/10; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-11 10:19:18 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; 4/5; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 3/4; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 7/9; 3/4; 4/5; ; 8/15; ; 
Draw; 11/4; ; 13/5; 11/4; ; 14/5; 11/4; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 45/17; 13/5; 13/5; ; 21/10; ; 
Sevilla; 16/5; ; 17/5; 16/5; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 15/4; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 58/19; 15/4; 16/5; ; 13/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-11 14:18:22 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; 4/5; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 3/4; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; 7/9; 3/4; 4/5; ; 8/15; ; 
Draw; 11/4; ; 13/5; 11/4; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 45/17; 13/5; 13/5; ; 21/10; ; 
Sevilla; 16/5; ; 17/5; 16/5; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 15/4; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 58/19; 15/4; 16/5; ; 14/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-11 18:18:20 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; 4/5; ; 4/5; 4/5; ; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; ; 3/4; 4/5; ; 8/15; ; 
Draw; 11/4; ; 13/5; 11/4; ; 14/5; 14/5; ; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; ; 13/5; 13/5; ; 21/10; ; 
Sevilla; 16/5; ; 17/5; 16/5; ; 7/2; 17/5; ; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; ; 15/4; 16/5; ; 14/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-11 22:18:32 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/5; ; 4/5; 4/5; 5/6; 4/5; 4/5; 8/11; 4/5; 3/4; 4/5; 4/5; 10/13; ; 5/6; 4/5; 9/13; 4/5; 8/11; 9/13; 83/100; ; 3/4; 4/5; ; 4/7; ; 
Draw; 11/4; ; 13/5; 11/4; 11/4; 14/5; 14/5; 5/2; 11/4; 13/5; 5/2; 13/5; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; ; 13/5; 13/5; ; 21/10; ; 
Sevilla; 16/5; ; 17/5; 16/5; 10/3; 7/2; 17/5; 16/5; 10/3; 7/2; 16/5; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; ; 15/4; 16/5; ; 14/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-12 02:18:05 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 4/5; 4/5; 3/4; 4/5; 3/4; 8/11; 4/5; 3/4; 3/4; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 10/13; 3/4; 3/4; ; 4/7; ; 
Draw; 11/4; ; 27/10; 11/4; 11/4; 14/5; 11/4; 5/2; 11/4; 13/5; 5/2; 5/2; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 45/17; 13/5; 11/4; ; 21/10; ; 
Sevilla; 7/2; ; 17/5; 16/5; 19/5; 7/2; 18/5; 16/5; 10/3; 7/2; 13/4; 7/2; 7/2; ; 7/2; 7/2; 19/5; 31/10; 7/2; 19/5; 77/20; 31/10; 15/4; 10/3; ; 13/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-12 06:18:07 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 4/5; 4/5; 3/4; 4/5; 3/4; 8/11; 4/5; 3/4; 3/4; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 10/13; 3/4; 3/4; ; 4/7; ; 
Draw; 11/4; ; 27/10; 11/4; 11/4; 14/5; 14/5; 5/2; 11/4; 13/5; 5/2; 5/2; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 45/17; 13/5; 11/4; ; 21/10; ; 
Sevilla; 7/2; ; 17/5; 16/5; 19/5; 7/2; 18/5; 16/5; 10/3; 7/2; 13/4; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 31/10; 15/4; 10/3; ; 13/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-12 10:18:31 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 4/5; 4/5; 3/4; 4/5; 3/4; 8/11; 4/5; 3/4; 3/4; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 10/13; 3/4; 3/4; ; 4/7; ; 
Draw; 11/4; ; 27/10; 11/4; 11/4; 14/5; 14/5; 5/2; 11/4; 13/5; 5/2; 5/2; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 45/17; 13/5; 11/4; ; 21/10; ; 
Sevilla; 7/2; ; 17/5; 16/5; 19/5; 7/2; 18/5; 16/5; 10/3; 7/2; 13/4; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 31/10; 15/4; 10/3; ; 13/5; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-12 14:18:17 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 8/11; ; 4/5; 4/5; 3/4; 4/5; 3/4; 8/11; 4/5; 3/4; 3/4; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 10/13; 3/4; 3/4; ; 4/6; ; 
Draw; 11/4; ; 27/10; 11/4; 11/4; 14/5; 14/5; 5/2; 11/4; 13/5; 5/2; 5/2; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 45/17; 13/5; 11/4; ; 23/10; ; 
Sevilla; 7/2; ; 17/5; 16/5; 19/5; 7/2; 18/5; 16/5; 10/3; 7/2; 13/4; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 31/10; 15/4; 10/3; ; 3; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-12 18:18:12 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 8/11; 17/20; 4/5; 4/5; 3/4; 4/5; 3/4; 8/11; 4/5; 3/4; 3/4; 4/5; 10/13; ; 5/6; 4/5; 4/6; 4/5; 8/11; 4/6; 83/100; 10/13; 3/4; 3/4; ; 8/11; ; 
Draw; 11/4; 13/5; 27/10; 11/4; 11/4; 14/5; 14/5; 5/2; 11/4; 13/5; 5/2; 5/2; 27/10; ; 13/5; 14/5; 27/10; 27/10; 13/5; 27/10; 14/5; 45/17; 13/5; 11/4; ; 13/5; ; 
Sevilla; 7/2; 16/5; 17/5; 16/5; 19/5; 7/2; 18/5; 16/5; 10/3; 7/2; 13/4; 7/2; 7/2; ; 7/2; 7/2; 15/4; 31/10; 7/2; 15/4; 77/20; 31/10; 15/4; 10/3; ; 3; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-12 22:18:16 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 7/10; 8/11; 3/4; 4/5; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 7/10; 3/4; 8/11; ; 3/4; 4/5; 8/13; 4/5; 4/6; 8/13; 41/50; 10/13; 13/18; 8/11; ; 8/11; ; 
Draw; 14/5; 11/4; 27/10; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 5/2; 27/10; ; 13/5; 14/5; 11/4; 27/10; 27/10; 11/4; 14/5; 45/17; 27/10; 11/4; ; 27/10; ; 
Sevilla; 15/4; 18/5; 37/10; 16/5; 4; 37/10; 19/5; 16/5; 7/2; 15/4; 7/2; 15/4; 15/4; ; 4; 7/2; 75/19; 31/10; 4; 75/19; 39/10; 31/10; 4; 7/2; ; 10/3; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-13 02:18:40 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 7/10; 3/4; 3/4; 8/11; 8/11; 3/4; 8/11; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; ; 3/4; 8/11; 11/18; 3/4; 4/6; 11/18; 41/50; 14/19; 13/18; 7/10; ; 4/6; ; 
Draw; 14/5; 11/4; 11/4; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 13/5; 27/10; ; 13/5; 14/5; 14/5; 27/10; 27/10; 14/5; 14/5; 45/17; 27/10; 11/4; ; 27/10; ; 
Sevilla; 15/4; 18/5; 37/10; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 7/2; 15/4; 15/4; ; 4; 4; 41/10; 33/10; 4; 41/10; 39/10; 33/10; 4; 15/4; ; 7/2; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-13 06:19:21 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 7/10; 3/4; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 8/11; 8/11; ; 3/4; 8/11; 11/18; 3/4; 4/6; 11/18; 41/50; 14/19; 13/18; 7/10; ; 4/6; ; 
Draw; 14/5; 11/4; 11/4; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 11/4; 27/10; ; 13/5; 14/5; 14/5; 27/10; 27/10; 14/5; 14/5; 45/17; 27/10; 11/4; ; 11/4; ; 
Sevilla; 15/4; 18/5; 19/5; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 18/5; 15/4; 15/4; ; 4; 4; 54/13; 33/10; 4; 54/13; 39/10; 33/10; 4; 15/4; ; 7/2; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-13 10:17:44 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 7/10; 3/4; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 8/11; 7/10; ; 3/4; 8/11; 11/18; 13/18; 4/6; 11/18; 19/25; 7/10; 13/18; 7/10; ; 4/6; ; 
Draw; 14/5; 11/4; 11/4; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 11/4; 14/5; ; 13/5; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 27/10; 27/10; 11/4; ; 11/4; ; 
Sevilla; 15/4; 18/5; 19/5; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 18/5; 15/4; 15/4; ; 4; 4; 54/13; 7/2; 4; 54/13; 22/5; 7/2; 4; 15/4; ; 7/2; ; 
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-13 14:18:27 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 7/10; 3/4; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 8/11; 7/10; ; 3/4; 8/11; 11/18; 13/18; 4/6; 11/18; 19/25; 7/10; 13/18; 7/10; ; 4/6; 4/6; 4/6
Draw; 14/5; 11/4; 11/4; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 11/4; 14/5; ; 13/5; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 27/10; 27/10; 11/4; ; 11/4; 14/5; 14/5
Sevilla; 15/4; 18/5; 19/5; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 18/5; 15/4; 15/4; ; 4; 4; 41/10; 7/2; 4; 41/10; 22/5; 7/2; 4; 15/4; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-13 18:19:59 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 7/10; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 7/10; 7/10; ; 7/10; 8/11; 11/18; 13/18; 4/6; 11/18; 19/25; 7/10; 13/18; 8/11; 8/11; ; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 11/4; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 14/5; 14/5; ; 11/4; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 27/10; 27/10; 14/5; 27/10; ; 11/4; 14/5; 14/5
Sevilla; 15/4; 18/5; 19/5; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 18/5; 15/4; 15/4; ; 4; 4; 17/4; 7/2; 4; 17/4; 22/5; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-13 22:18:12 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 7/10; 8/11; 8/11; 8/11; ; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 7/10; 7/10; ; 7/10; 8/11; 11/18; 13/18; 4/6; 11/18; 19/25; 7/10; 9/13; 8/11; 7/10; ; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 11/4; 11/4; ; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 14/5; 14/5; ; 11/4; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 27/10; 27/10; 14/5; 11/4; ; 11/4; 11/4; 14/5
Sevilla; 15/4; 18/5; 19/5; 4; ; 19/5; 19/5; 16/5; 7/2; 4; 18/5; 15/4; 15/4; ; 4; 4; 17/4; 7/2; 21/5; 17/4; 22/5; 7/2; 21/5; 15/4; 17/4; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-14 02:19:24 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 7/10; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 7/10; 7/10; ; 7/10; 8/11; 11/18; 13/18; 4/6; 11/18; 19/25; 7/10; 9/13; 8/11; 7/10; ; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 11/4; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 14/5; 14/5; ; 11/4; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 27/10; 27/10; 14/5; 11/4; ; 11/4; 14/5; 14/5
Sevilla; 15/4; 18/5; 19/5; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 18/5; 15/4; 15/4; ; 4; 4; 17/4; 7/2; 21/5; 17/4; 22/5; 7/2; 21/5; 15/4; 17/4; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-14 06:17:58 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 7/10; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 7/10; 7/10; ; 7/10; 8/11; 11/18; 13/18; 4/6; 11/18; 19/25; 7/10; 9/13; 8/11; 7/10; ; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 11/4; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 14/5; 14/5; ; 11/4; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 27/10; 27/10; 14/5; 11/4; ; 11/4; 14/5; 14/5
Sevilla; 15/4; 18/5; 19/5; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 18/5; 15/4; 15/4; ; 4; 4; 17/4; 7/2; 21/5; 17/4; 22/5; 7/2; 21/5; 15/4; 17/4; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-14 10:18:16 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 7/10; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 7/10; 7/10; ; 7/10; 8/11; 11/18; 13/18; 4/6; 11/18; 3/4; 7/10; 9/13; 8/11; 7/10; ; 4/6; 4/6; 4/6
Draw; 14/5; 14/5; 11/4; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 14/5; 14/5; ; 11/4; 14/5; 14/5; 14/5; 27/10; 14/5; 14/5; 27/10; 27/10; 14/5; 11/4; ; 11/4; 14/5; 14/5
Sevilla; 15/4; 18/5; 19/5; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 18/5; 15/4; 15/4; ; 4; 4; 17/4; 7/2; 21/5; 17/4; 9/2; 7/2; 21/5; 15/4; 17/4; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-14 14:19:46 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 7/10; 8/11; 3/4; 8/11; 3/4; 3/4; 3/4; 8/11; 4/6; 8/11; 7/10; 8/11; 7/10; ; 7/10; 8/11; 11/18; 13/18; 4/6; 11/18; 3/4; 7/10; 9/13; 8/11; 7/10; ; 4/6; 4/6; 8/11
Draw; 14/5; 14/5; 11/4; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 13/5; 14/5; ; 11/4; 14/5; 11/4; 14/5; 27/10; 11/4; 72/25; 27/10; 27/10; 14/5; 11/4; ; 27/10; 14/5; 14/5
Sevilla; 15/4; 18/5; 37/10; 4; 19/5; 19/5; 18/5; 16/5; 7/2; 15/4; 7/2; 15/4; 15/4; ; 4; 4; 54/13; 7/2; 21/5; 54/13; 22/5; 7/2; 21/5; 15/4; 17/4; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-14 18:18:05 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 8/11; 7/10; ; 7/10; 8/11; 11/18; 13/18; 4/6; 11/18; 3/4; 7/10; 9/13; 8/11; 7/10; ; 4/6; 4/6; 8/11
Draw; 14/5; 11/4; 27/10; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 11/4; 14/5; ; 11/4; 14/5; 37/13; 14/5; 27/10; 37/13; 72/25; 27/10; 27/10; 14/5; 11/4; ; 27/10; 11/4; 14/5
Sevilla; 15/4; 18/5; 19/5; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 18/5; 15/4; 15/4; ; 4; 4; 43/10; 7/2; 21/5; 43/10; 22/5; 7/2; 21/5; 15/4; 17/4; ; 7/2; 7/2; 7/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-14 22:17:55 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 8/11; 4/6; 7/10; 7/10; 8/11; 7/10; ; 7/10; 8/11; 11/18; 13/18; 4/6; 11/18; 3/4; ; 9/13; 8/11; 7/10; ; 4/6; 4/6; 8/11
Draw; 14/5; 11/4; 27/10; 11/4; 11/4; 14/5; 14/5; 5/2; 14/5; 13/5; 13/5; 11/4; 14/5; ; 11/4; 14/5; 37/13; 14/5; 27/10; 37/13; 72/25; ; 27/10; 14/5; 11/4; ; 27/10; 11/4; 14/5
Sevilla; 15/4; 18/5; 19/5; 4; 4; 19/5; 19/5; 16/5; 7/2; 4; 18/5; 15/4; 15/4; ; 4; 4; 43/10; 7/2; 21/5; 43/10; 22/5; ; 21/5; 15/4; 17/4; ; 7/2; 7/2; 21/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-15 02:19:41 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 8/11; 7/10; 8/11; 7/10; 8/11; 4/6; 8/11; 4/6; 4/6; 4/6; 7/10; 4/6; ; 7/10; 7/10; 10/17; 11/17; 4/6; 10/17; 3/4; 4/6; 9/13; 7/10; 7/10; ; 4/6; 4/6; 4/6
Draw; 14/5; 11/4; 11/4; 11/4; 3; 3; 3; 5/2; 14/5; 13/5; 13/5; 13/5; 57/20; ; 11/4; 3; 29/10; 29/10; 27/10; 29/10; 72/25; 14/5; 27/10; 14/5; 11/4; ; 11/4; 14/5; 14/5
Sevilla; 15/4; 18/5; 4; 4; 4; 4; 4; 16/5; 19/5; 4; 15/4; 4; 4; ; 4; 4; 49/11; 15/4; 21/5; 49/11; 22/5; 39/11; 21/5; 4; 17/4; ; 7/2; 7/2; 9/2
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-15 06:17:59 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 8/11; 7/10; 8/11; 7/10; 7/10; 4/6; 8/11; 4/6; 4/6; 4/6; 7/10; 4/6; ; 7/10; 7/10; 10/17; 11/17; 4/6; 10/17; 3/4; 11/17; 9/13; 7/10; 7/10; ; 4/7; 8/13; 4/6
Draw; 14/5; 11/4; 11/4; 11/4; 3; 3; 3; 5/2; 14/5; 11/4; 13/5; 11/4; 57/20; ; 14/5; 3; 29/10; 29/10; 27/10; 29/10; 72/25; 14/5; 27/10; 14/5; 11/4; ; 11/4; 14/5; 3
Sevilla; 15/4; 18/5; 4; 4; 4; 4; 4; 16/5; 19/5; 17/4; 15/4; 4; 4; ; 4; 4; 50/11; 15/4; 21/5; 50/11; 22/5; 62/17; 21/5; 4; 17/4; ; 21/5; 4; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-15 10:18:15 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 7/10; 7/10; 8/11; 7/10; 7/10; 4/6; 8/11; 4/6; 4/6; 4/6; 7/10; 4/6; ; 7/10; 7/10; 10/17; 11/17; 4/6; 10/17; 71/100; 11/17; 9/13; 4/6; 7/10; ; 4/7; 8/13; 4/6
Draw; 11/4; 14/5; 11/4; 11/4; 3; 3; 3; 5/2; 14/5; 11/4; 13/5; 11/4; 57/20; ; 14/5; 3; 29/10; 29/10; 27/10; 29/10; 74/25; 14/5; 27/10; 14/5; 11/4; ; 11/4; 14/5; 3
Sevilla; 4; 19/5; 4; 4; 4; 4; 4; 16/5; 19/5; 17/4; 15/4; 4; 4; ; 4; 4; 50/11; 15/4; 21/5; 50/11; 23/5; 62/17; 21/5; 17/4; 17/4; ; 4; 4; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-15 14:20:10 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 7/10; 7/10; 8/11; 7/10; 7/10; 4/6; 8/11; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 10/17; 11/17; 4/6; 10/17; 71/100; 11/17; 9/13; 4/6; 7/10; ; 8/13; 8/13; 4/6
Draw; 11/4; 14/5; 11/4; 11/4; 3; 3; 3; 5/2; 14/5; 11/4; 14/5; 11/4; 57/20; 29/10; 14/5; 3; 29/10; 29/10; 27/10; 29/10; 74/25; 14/5; 27/10; 14/5; 11/4; ; 11/4; 14/5; 3
Sevilla; 4; 19/5; 4; 4; 4; 4; 4; 16/5; 19/5; 17/4; 4; 4; 4; 19/5; 4; 4; 50/11; 15/4; 21/5; 50/11; 23/5; 62/17; 21/5; 17/4; 17/4; ; 4; 4; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-15 18:18:05 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 7/10; 7/10; 8/11; 7/10; 7/10; 4/6; 8/11; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 10/17; 11/17; 4/6; 10/17; 71/100; 11/17; 9/13; 4/6; 7/10; ; 8/13; 4/6; 4/6
Draw; 11/4; 14/5; 11/4; 11/4; 3; 3; 3; 5/2; 14/5; 11/4; 14/5; 11/4; 57/20; 29/10; 14/5; 3; 56/19; 29/10; 27/10; 56/19; 74/25; 14/5; 27/10; 14/5; 11/4; ; 11/4; 14/5; 3
Sevilla; 4; 19/5; 4; 4; 4; 4; 4; 16/5; 19/5; 17/4; 4; 4; 4; 19/5; 4; 4; 79/17; 15/4; 21/5; 79/17; 23/5; 62/17; 21/5; 17/4; 17/4; ; 4; 4; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-15 22:18:09 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 7/10; 7/10; 8/11; 7/10; 7/10; 4/6; 8/11; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 10/17; 11/17; 4/6; 10/17; 71/100; ; 9/13; 4/6; 7/10; ; 8/13; 4/6; 4/6
Draw; 11/4; 14/5; 11/4; 11/4; 3; 3; 3; 5/2; 14/5; 11/4; 14/5; 11/4; 57/20; 29/10; 14/5; 3; 56/19; 29/10; 27/10; 56/19; 74/25; ; 27/10; 14/5; 11/4; ; 11/4; 14/5; 3
Sevilla; 4; 19/5; 4; 4; 4; 4; 4; 16/5; 19/5; 17/4; 4; 4; 4; 19/5; 4; 4; 79/17; 15/4; 21/5; 79/17; 23/5; ; 21/5; 4; 17/4; ; 21/5; 4; 23/5
META; spain/la-liga-primera/atletico-madrid-v-sevilla; 2017-03-16 02:18:21 GMT+2; 2017-03-19 15:15; Nothing; Xlenovo
Atletico Madrid; 4/6; 7/10; 7/10; 8/11; 7/10; 7/10; 4/6; 8/11; 4/6; 4/6; 4/6; 7/10; 4/6; 7/10; 7/10; 7/10; 10/17; 11/17; 4/6; 10/17; 7/10; 11/17; 9/13; 4/6; 7/10; ; 4/6; 8/13; 4/6
Draw; 11/4; 14/5; 11/4; 11/4; 3; 3; 3; 5/2; 14/5; 11/4; 14/5; 13/5; 57/20; 29/10; 14/5; 3; 56/19; 29/10; 27/10; 56/19; 74/25; 14/5; 27/10; 14/5; 11/4; ; 11/4; 14/5; 14/5
