META; champions-league/borussia-dortmund-v-monaco; 2017-03-17 16:15:16 GMT+2; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 7/10; ; 4/6; 4/6; ; 8/13; 4/6; 8/13; 8/13; 4/6; 8/13; 8/13; 13/20; 13/20; 7/10; 8/13; 4/6; 8/13; 8/13; 7/10; 19/29; 11/17; 6/10; 11/17; ; 4/7; 4/7; 
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 3; 3; 10/3
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-28 00:15:01 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 3; 14/5; 10/3
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-28 08:15:01 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 11/17; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 41/13; 71/20; 57/17; 3; 16/5; 3; ; 3; 14/5; 10/3
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 4; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-28 12:30:27 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 3; 10/3
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-28 16:15:02 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 3; 10/3
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-28 20:15:01 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 8/13; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 3; 10/3
Monaco; 17/4; 15/4; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-29 00:15:01 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 14/5; 10/3
Monaco; 17/4; 15/4; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-29 04:15:01 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 14/5; 10/3
Monaco; 17/4; 15/4; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 10/3; 7/2
META; champions-league/borussia-dortmund-v-monaco; 2017-03-29 08:15:01 GMT+3; 2017-04-03 00:00; e70300-dr003
Santos; 5/4; ; 13/10; ; 5/4; ; ; 6/5; 5/4; ; ; ; 13/10; ; ; ; 13/10; ; ; 13/10; 5/4; ; ; ; ; ; 10/9; ; 
Draw; 11/5; ; 23/10; ; 23/10; ; ; 9/4; 11/5; ; ; ; 12/5; ; ; ; 11/5; ; ; 11/5; 119/50; ; ; ; ; ; 2; ; 
Queretaro; 9/5; ; 15/8; ; 2; ; ; 2; 15/8; ; ; ; 2; ; ; ; 24/13; ; ; 24/13; 5/2; ; ; ; ; ; 13/8; ; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-29 12:15:02 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 14/5; 10/3
Monaco; 17/4; 18/5; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-30 00:15:02 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 14/5; 10/3
Monaco; 17/4; 15/4; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-30 04:15:02 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 4/7; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 8/13; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 8/13; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 3; 3; ; 3; 14/5; 10/3
Monaco; 17/4; 15/4; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 19/5; 15/4; 4; 15/4; 4; 4; 7/2; 4; 4; 4; 4; 4; 41/10; 7/2; 4; 4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-30 16:15:02 GMT+3; 2017-04-22 16:15; e70300-dr003
Draw 1-1; 5; 5; 11/2; ; ; ; 6; 5; 5; 11/2; 5; 5; 21/4; 11/2; 11/2; ; 60/11; ; 6; 60/11; ; ; 6; ; 6; ; 21/5; ; 
Chelsea 1-0; 6; 6; 13/2; ; ; ; 13/2; 13/2; 6; 6; 6; 6; 6; 13/2; 6; ; 96/17; ; 13/2; 96/17; ; ; 13/2; ; 13/2; ; 21/5; ; 
Chelsea 2-1; 8; 8; 17/2; ; ; ; 17/2; 17/2; 8; 15/2; 8; 15/2; 15/2; 8; 15/2; ; 31/4; ; 17/2; 31/4; ; ; 17/2; ; 17/2; ; 21/5; ; 
Draw 0-0; 8; 17/2; 17/2; ; ; ; 7; 15/2; 8; 9; 8; 15/2; 15/2; 17/2; 8; ; 7; ; 15/2; 7; ; ; 15/2; ; 15/2; ; 33/5; ; 
Tottenham 1-0; 8; 15/2; 9; ; ; ; 9; 9; 8; 8; 17/2; 8; 17/2; 17/2; 8; ; 8; ; 19/2; 8; ; ; 19/2; ; 19/2; ; 21/5; ; 
Chelsea 2-0; 9; 17/2; 10; ; ; ; 19/2; 9; 17/2; 9; 9; 9; 9; 10; 8; ; 8; ; 9; 8; ; ; 9; ; 9; ; 21/5; ; 
Tottenham 2-1; 11; 10; 11; ; ; ; 12; 11; 10; 10; 10; 10; 10; 11; 10; ; 43/4; ; 12; 43/4; ; ; 12; ; 12; ; 21/5; ; 
Draw 2-2; 14; 14; 14; ; ; ; 16; 13; 14; 14; 14; 12; 12; 14; 12; ; 59/4; ; 15; 59/4; ; ; 15; ; 15; ; 38/5; ; 
Tottenham 2-0; 16; 14; 17; ; ; ; 18; 14; 14; 14; 16; 14; 16; 16; 12; ; 15; ; 17; 15; ; ; 17; ; 17; ; 21/5; ; 
Chelsea 3-1; 18; 18; 18; ; ; ; 19; 18; 16; 16; 18; 16; 16; 16; 14; ; 16; ; 17; 16; ; ; 17; ; 17; ; 33/5; ; 
Chelsea 3-0; 20; 20; 20; ; ; ; 21; 20; 18; 16; 20; 18; 20; 20; 16; ; 33/2; ; 16; 33/2; ; ; 16; ; 16; ; 33/5; ; 
Tottenham 3-1; 28; 28; 30; ; ; ; 30; 25; 28; 28; 28; 25; 28; 28; 22; ; 109/4; ; 29; 109/4; ; ; 29; ; 29; ; 33/5; ; 
Chelsea 3-2; 28; 33; 30; ; ; ; 30; 30; 33; 28; 28; 25; 28; 28; 22; ; 109/4; ; 29; 109/4; ; ; 29; ; 29; ; 52/5; ; 
Tottenham 3-2; 40; 40; 35; ; ; ; 40; 40; 40; 33; 33; 33; 33; 33; 28; ; 137/4; ; 40; 137/4; ; ; 40; ; 40; ; 52/5; ; 
Tottenham 3-0; 40; 40; 45; ; ; ; 45; 40; 40; 40; 40; 33; 40; 35; 33; ; 71/2; ; 37; 71/2; ; ; 37; ; 37; ; 33/5; ; 
Any Other Score; ; ; 40; ; ; ; ; 35; 50; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chelsea 4-1; 40; 50; 45; ; ; ; 45; 50; 50; 40; 45; 33; 45; 40; 33; ; 147/4; ; 37; 147/4; ; ; 37; ; 37; ; ; ; 
Chelsea 4-0; 40; 50; 50; ; ; ; 55; 60; 50; 40; 50; 40; 55; 45; 40; ; 147/4; ; 38; 147/4; ; ; 38; ; 38; ; ; ; 
Draw 3-3; 50; 66; 60; ; ; ; 75; 60; 80; 66; 60; 50; 66; 66; 50; ; 111/2; ; 70; 111/2; ; ; 70; ; 70; ; 62/5; ; 
Chelsea 4-2; 50; 66; 70; ; ; ; 75; 80; 80; 80; 66; 50; 66; 70; 50; ; 109/2; ; 70; 109/2; ; ; 70; ; 70; ; ; ; 
Tottenham 4-1; 66; 80; 90; ; ; ; 90; 100; 100; 100; 80; 66; 75; 90; 80; ; 255/4; ; 80; 255/4; ; ; 80; ; 80; ; ; ; 
Tottenham 4-2; 80; 100; 110; ; ; ; 110; 125; 100; 125; 90; 66; 90; 100; 80; ; 293/4; ; 120; 293/4; ; ; 120; ; 120; ; ; ; 
Tottenham 4-0; 80; 100; 120; ; ; ; 110; 150; 100; 125; 100; 80; 100; 100; 100; ; 293/4; ; 100; 293/4; ; ; 100; ; 100; ; ; ; 
Chelsea 5-1; 100; 100; ; ; ; ; 110; 175; 100; 125; 100; 80; 125; 100; 80; ; 72; ; 100; 72; ; ; 100; ; 100; ; ; ; 
Chelsea 4-3; 125; 150; 150; ; ; ; 150; 175; ; 200; 125; 80; 125; 150; 100; ; 84; ; 180; 84; ; ; 180; ; 180; ; ; ; 
Chelsea 5-0; 100; 150; ; ; ; ; 110; 200; 100; 125; 100; 80; 125; 150; 100; ; 293/4; ; 100; 293/4; ; ; 100; ; 100; ; ; ; 
Chelsea 6-3; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chelsea 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tottenham 6-3; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tottenham 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chelsea 5-2; 150; 200; ; ; ; ; 200; 250; ; 200; 125; 100; 150; 150; 125; ; 177/2; ; 180; 177/2; ; ; 180; ; 180; ; ; ; 
Tottenham 4-3; 150; 200; 175; ; ; ; 250; 225; ; 250; 125; 100; 125; 150; 125; ; 91; ; 225; 91; ; ; 225; ; 225; ; ; ; 
Tottenham 6-2; ; 250; ; ; ; ; 225; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tottenham 5-1; 200; 250; ; ; ; ; 250; 425; 100; 450; 150; 100; 175; 250; 250; ; ; ; 275; ; ; ; 275; ; 275; ; ; ; 
Chelsea 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chelsea 5-3; 400; 250; ; ; ; ; 175; 500; ; 500; 150; ; 175; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chelsea 5-4; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chelsea 6-0; 350; 250; ; ; ; ; 250; 500; 100; 450; 150; ; 200; 300; ; ; ; ; 350; ; ; ; 350; ; 350; ; ; ; 
Chelsea 6-1; 350; 250; ; ; ; ; 250; 500; ; 450; 150; ; 175; 300; ; ; ; ; 325; ; ; ; 325; ; 325; ; ; ; 
Chelsea 6-2; ; 250; ; ; ; ; 225; ; ; 500; 200; ; 200; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chelsea 7-0; ; ; ; ; ; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chelsea 7-1; ; ; ; ; ; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chelsea 8-0; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chelsea 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chelsea 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 4-4; 350; 250; 250; ; ; ; 250; 350; ; 500; 150; ; 175; 300; ; ; ; ; 400; ; ; ; 400; ; 400; ; ; ; 
Tottenham 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tottenham 5-0; 300; 250; ; ; ; ; 250; 500; 100; 500; 150; ; 175; 300; ; ; ; ; 350; ; ; ; 350; ; 350; ; ; ; 
Tottenham 5-2; 300; 250; ; ; ; ; 250; 500; ; 450; 150; ; 175; 250; ; ; ; ; 400; ; ; ; 400; ; 400; ; ; ; 
Tottenham 5-3; ; 250; ; ; ; ; 225; 500; ; ; 200; ; 200; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tottenham 5-4; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tottenham 6-0; ; 250; ; ; ; ; 225; 500; 100; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tottenham 6-1; ; 250; ; ; ; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tottenham 7-0; ; ; ; ; ; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tottenham 7-1; ; ; ; ; ; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tottenham 8-0; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tottenham 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tottenham 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-31 00:15:02 GMT+3; ; e70300-dr003
VfB Stuttgart; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 5/6; 11/10; 9/10; 10/11; ; 11/13; 9/10; ; ; ; ; ; 
Union Berlin; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; 24/13; 9/5; 9/5; 24/13; ; 9/5; 24/13; ; ; ; ; ; 
Braunschweig; 6; ; ; ; ; ; ; ; ; ; ; ; ; ; 6; ; 13/2; 13/2; 13/2; 13/2; ; 6; 13/2; ; ; ; ; ; 
Hannover; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 6; ; 96/17; 5; 13/2; 6; ; 5; 13/2; ; ; ; ; ; 
Dynamo Dresden; 80; ; ; ; ; ; ; ; ; ; ; ; ; ; 100; ; 80; 66; 100; 80; ; 80; 100; ; ; ; ; ; 
Gr Furth; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 600; 150; 500; 600; ; ; 500; ; ; ; ; ; 
Heidenheim; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; 500; 500; 1000; ; ; 500; ; ; ; ; ; 
Fortuna Dusseldorf; 1500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; 1000; 1000; ; ; 1000; ; ; ; ; ; 
Sandhausen; 2500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; 1000; 1000; ; ; 1000; ; ; ; ; ; 
Bochum; 3000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3000; ; 1500; 3000; ; ; 1500; ; ; ; ; ; 
1860 Munich; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4500; ; 2000; ; ; ; 2000; ; ; ; ; ; 
Kaiserslautern; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3000; ; 2000; 3000; ; ; 2000; ; ; ; ; ; 
Nurnberg; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2500; ; 1000; 2500; ; ; 1000; ; ; ; ; ; 
St Pauli; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4500; ; 3000; 4500; ; ; 3000; ; ; ; ; ; 
Wurzburger Kickers; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3000; ; 2000; 3000; ; ; 2000; ; ; ; ; ; 
Aue; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8000; ; ; ; 8000; ; ; ; ; ; 
Bielefeld; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8000; ; ; ; 8000; ; ; ; ; ; 
META; champions-league/borussia-dortmund-v-monaco; 2017-03-31 04:15:02 GMT+3; 2017-04-11 19:45; e70300-dr003
Juventus; 6/4; 8/5; 8/5; 6/4; 13/8; 8/5; 8/5; 13/8; 8/5; 8/5; 13/8; 13/8; ; 17/10; 8/5; 8/5; 8/5; 8/5; 13/8; 8/5; 87/50; 13/8; 28/17; 8/5; 28/17; ; 8/5; 8/5; 13/8
Barcelona; 7/4; 17/10; 9/5; 9/5; 7/4; 17/10; 7/4; 17/10; 9/5; 7/4; 13/8; 7/4; ; 9/5; 9/5; 7/4; 7/4; 8/5; 7/4; 7/4; 181/100; 17/10; 7/4; 7/4; 7/4; ; 13/8; 13/8; 15/8
Draw; 23/10; 23/10; 9/4; 23/10; 9/4; 9/4; 23/10; 9/4; 12/5; 11/5; 23/10; 11/5; ; 9/4; 11/5; 23/10; 11/5; 23/10; 9/4; 11/5; 12/5; 23/10; 9/4; 11/5; 9/4; ; 21/10; 21/10; 23/10
META; champions-league/borussia-dortmund-v-monaco; 2017-03-31 08:15:03 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 8/13; 8/13; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 4/6; 4/7; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 16/5; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 14/5; 14/5; 10/3
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 10/3; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-31 12:15:03 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 8/13; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 4/6; 4/6; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 14/5; 3; 10/3
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-31 16:15:03 GMT+3; 2017-04-11 19:45; e70300-dr003
Borussia Dortmund; 8/13; 4/6; 13/20; 4/6; 4/6; 4/6; 13/20; 4/6; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 13/20; 4/6; 8/13; 11/17; 8/13; 8/13; 67/100; 4/6; 11/17; 8/13; 11/17; ; 4/6; 4/6; 4/6
Draw; 16/5; 10/3; 16/5; 16/5; 16/5; 10/3; 10/3; 16/5; 10/3; 16/5; 11/4; 3; 16/5; 16/5; 7/2; 16/5; 13/4; 14/5; 3; 13/4; 71/20; 57/17; 3; 16/5; 3; ; 14/5; 3; 10/3
Monaco; 15/4; 7/2; 15/4; 7/2; 19/5; 19/5; 15/4; 7/2; 7/2; 15/4; 4; 15/4; 4; 4; 7/2; 7/2; 39/10; 4; 4; 39/10; 41/10; 7/2; 4; 15/4; 4; ; 7/2; 7/2; 4
META; champions-league/borussia-dortmund-v-monaco; 2017-03-31 20:15:07 GMT+3; 2017-04-01 18:00; e70300-dr003
Din Zagreb; 2/7; ; 2/7; ; 1/4; 3/10; 1/4; ; 1/4; 2/7; ; 1/4; 1/4; ; 30/100; ; 3/14; 3/10; 1/4; 3/14; ; ; 1/4; ; 1/4; ; 1/4; 2/9; 
