META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-15 20:21:04 GMT+3; 2016-10-19 19:45; e70300-dr003
Cardiff; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; 8/5; ; ; ; 8/5; ; ; ; ; 
Sheffield Wednesday; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/10; ; 17/10; ; ; ; 17/10; ; ; ; ; 
Draw; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; 9/4; ; ; ; ; 
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-16 00:23:08 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 8/5; 3/2; ; ; 13/8; ; 8/5; ; 13/8; ; 7/5; 7/5; ; ; ; 6/4; ; 17/10; ; 17/10; 8/5; ; ; 17/10; ; ; 5/4; ; 
Draw; 23/10; 9/4; 43/20; 21/10; 23/10; 9/4; 23/10; 21/10; 9/4; 21/10; 9/4; 11/5; 9/4; 11/5; 11/5; 11/5; 28/13; 28/13; 9/4; 21/10; 28/13; 9/4; 11/5; 28/13; 11/5; ; 21/10; 2; 23/10
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 17:47:07 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 7/5; 6/4; 29/20; 11/8; 6/4; 31/20; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 29/20; 7/5; 16/11; 7/5; 16/11; 23/17; 7/5; 7/5; 14/9; 53/35; 16/11; 6/4; ; 6/4; 6/4; 6/4
Cardiff; 21/10; 19/10; 2; 15/8; 21/10; 2; 2; 2; 2; 19/10; 2; 15/8; 2; 19/10; 21/10; 2; 37/19; 21/10; 19/10; 21/10; 37/19; 21/10; 27/14; 21/10; 2; ; 19/10; 19/10; 21/10
Draw; 23/10; 9/4; 43/20; 21/10; 23/10; 9/4; 23/10; 21/10; 9/4; 21/10; 9/4; 11/5; 9/4; 11/5; 11/5; 11/5; 28/13; 28/13; 9/4; 21/10; 28/13; 9/4; 11/5; 28/13; 11/5; ; 21/10; 2; 23/10
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 18:34:13 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 6/4; 6/4; 29/20; 11/8; 6/4; 31/20; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 29/20; 7/5; 16/11; 7/5; 16/11; 23/17; 7/5; 7/5; 14/9; 53/35; 16/11; 6/4; ; 6/4; 6/4; 6/4
Cardiff; 21/10; 19/10; 2; 15/8; 21/10; 2; 2; 2; 2; 19/10; 2; 15/8; 2; 19/10; 21/10; 2; 37/19; 21/10; 19/10; 21/10; 37/19; 21/10; 27/14; 21/10; 2; ; 19/10; 19/10; 21/10
Draw; 23/10; 9/4; 43/20; 21/10; 23/10; 9/4; 23/10; 21/10; 9/4; 21/10; 9/4; 11/5; 9/4; 11/5; 11/5; 11/5; 28/13; 28/13; 9/4; 21/10; 28/13; 9/4; 11/5; 28/13; 11/5; ; 21/10; 2; 23/10
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 19:47:12 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 7/5; 6/4; 29/20; 11/8; 6/4; 31/20; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 29/20; 7/5; 16/11; 7/5; 16/11; 23/17; 7/5; 7/5; 14/9; 53/35; 16/11; 6/4; ; 6/4; 7/5; 6/4
Cardiff; 21/10; 19/10; 2; 15/8; 21/10; 2; 2; 2; 2; 19/10; 2; 15/8; 2; 19/10; 21/10; 2; 37/19; 21/10; 19/10; 21/10; 37/19; 21/10; 27/14; 21/10; 2; ; 19/10; 19/10; 21/10
Draw; 23/10; 9/4; 43/20; 21/10; 23/10; 9/4; 23/10; 21/10; 9/4; 21/10; 9/4; 11/5; 9/4; 11/5; 11/5; 11/5; 28/13; 28/13; 9/4; 21/10; 28/13; 9/4; 11/5; 28/13; 11/5; ; 21/10; 2; 23/10
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 20:22:40 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 7/5; 6/4; 29/20; 11/8; 6/4; 31/20; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 29/20; 7/5; 16/11; 7/5; 16/11; 23/17; 7/5; 7/5; 14/9; 53/35; 16/11; 6/4; ; 6/4; 7/5; 6/4
Cardiff; 21/10; 19/10; 2; 15/8; 21/10; 2; 2; 2; 2; 19/10; 2; 15/8; 2; 19/10; 21/10; 2; 37/19; 21/10; 19/10; 21/10; 37/19; 21/10; 27/14; 21/10; 2; ; 19/10; 19/10; 21/10
Draw; 23/10; 9/4; 43/20; 21/10; 23/10; 9/4; 23/10; 21/10; 9/4; 21/10; 9/4; 11/5; 9/4; 11/5; 11/5; 11/5; 28/13; 28/13; 9/4; 21/10; 28/13; 9/4; 11/5; 28/13; 11/5; ; 21/10; 2; 23/10
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 21:47:18 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 7/5; 6/4; 29/20; 11/8; 6/4; 31/20; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 29/20; 7/5; 16/11; 16/11; 16/11; 23/17; 7/5; 16/11; 14/9; 53/35; 16/11; 6/4; ; 6/4; 6/4; 6/4
Cardiff; 21/10; 19/10; 2; 15/8; 21/10; 2; 2; 2; 2; 19/10; 2; 15/8; 2; 19/10; 21/10; 2; 2; 21/10; 19/10; 21/10; 2; 21/10; 27/14; 21/10; 2; ; 19/10; 19/10; 21/10
Draw; 23/10; 9/4; 43/20; 21/10; 23/10; 9/4; 23/10; 21/10; 9/4; 21/10; 9/4; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 28/13; 9/4; 21/10; 11/5; 9/4; 11/5; 28/13; 11/5; ; 21/10; 2; 23/10
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-18 23:45:55 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 6/4; 6/4; 29/20; 11/8; 6/4; 31/20; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 29/20; 7/5; 16/11; 16/11; 16/11; 7/5; 7/5; 16/11; 17/11; 13/9; 16/11; 7/5; ; 6/4; 7/5; 6/4
Cardiff; 21/10; 19/10; 2; 15/8; 21/10; 2; 2; 2; 2; 19/10; 2; 15/8; 2; 19/10; 21/10; 2; 2; 21/10; 37/19; 21/10; 2; 36/17; 39/19; 21/10; 21/10; ; 2; 19/10; 21/10
Draw; 23/10; 11/5; 43/20; 21/10; 23/10; 9/4; 11/5; 21/10; 9/4; 21/10; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 28/13; 21/10; 21/10; 11/5; 9/4; 11/5; 28/13; 11/5; ; 21/10; 2; 23/10
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 00:20:54 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 6/4; 6/4; 29/20; 11/8; 6/4; 31/20; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 29/20; 7/5; 16/11; 16/11; 16/11; 7/5; 7/5; 16/11; 17/11; 13/9; 16/11; 6/4; ; 6/4; 7/5; 6/4
Cardiff; 21/10; 19/10; 39/20; 15/8; 21/10; 2; 2; 2; 2; 19/10; 2; 15/8; 2; 19/10; 21/10; 2; 2; 21/10; 37/19; 21/10; 2; 36/17; 39/19; 21/10; 2; ; 2; 19/10; 21/10
Draw; 23/10; 11/5; 43/20; 21/10; 23/10; 9/4; 11/5; 21/10; 9/4; 21/10; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 28/13; 21/10; 21/10; 11/5; 9/4; 11/5; 28/13; 11/5; ; 21/10; 2; 23/10
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 00:53:26 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 6/4; 6/4; 29/20; 11/8; 6/4; 31/20; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 29/20; 7/5; 16/11; 16/11; 16/11; 7/5; 7/5; 16/11; 17/11; 13/9; 16/11; 6/4; ; 6/4; 7/5; 6/4
Cardiff; 21/10; 19/10; 39/20; 15/8; 21/10; 2; 2; 2; 2; 19/10; 2; 15/8; 2; 19/10; 21/10; 2; 2; 21/10; 37/19; 21/10; 2; 36/17; 39/19; 21/10; 2; ; 19/10; 19/10; 21/10
Draw; 23/10; 11/5; 43/20; 21/10; 23/10; 9/4; 11/5; 21/10; 9/4; 21/10; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 28/13; 21/10; 21/10; 11/5; 9/4; 11/5; 28/13; 11/5; ; 21/10; 2; 9/4
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 01:45:35 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 6/4; 6/4; 29/20; 11/8; 6/4; 31/20; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 29/20; 7/5; 16/11; 16/11; 16/11; 7/5; 7/5; 16/11; 17/11; 13/9; 16/11; 6/4; ; 8/5; 6/4; 6/4
Cardiff; 21/10; 19/10; 39/20; 15/8; 21/10; 2; 21/10; 2; 2; 19/10; 2; 15/8; 2; 19/10; 21/10; 2; 2; 21/10; 37/19; 21/10; 2; 36/17; 39/19; 21/10; 2; ; 19/10; 19/10; 2
Draw; 23/10; 11/5; 43/20; 21/10; 23/10; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 28/13; 21/10; 21/10; 11/5; 9/4; 11/5; 28/13; 11/5; ; 21/10; 2; 9/4
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 03:45:32 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 6/4; 6/4; 29/20; 11/8; 6/4; 31/20; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 29/20; 7/5; 16/11; 6/4; 16/11; 7/5; 7/5; 6/4; 17/11; 13/9; 16/11; 6/4; ; 6/4; 6/4; 6/4
Cardiff; 21/10; 19/10; 39/20; 15/8; 21/10; 2; 21/10; 2; 2; 19/10; 2; 15/8; 2; 19/10; 21/10; 2; 2; 21/10; 37/19; 21/10; 2; 36/17; 39/19; 21/10; 2; ; 19/10; 19/10; 2
Draw; 23/10; 11/5; 43/20; 21/10; 23/10; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 28/13; 21/10; 21/10; 11/5; 9/4; 11/5; 28/13; 11/5; ; 21/10; 2; 9/4
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 04:20:36 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 6/4; 6/4; 6/4; 29/20; 11/8; 6/4; 31/20; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 29/20; 7/5; 16/11; 16/11; 16/11; 7/5; 7/5; 16/11; 17/11; 13/9; 16/11; 6/4; ; 6/4; 6/4; 6/4
Cardiff; 21/10; 19/10; 39/20; 15/8; 21/10; 2; 2; 2; 2; 19/10; 2; 15/8; 2; 19/10; 21/10; 2; 2; 21/10; 37/19; 21/10; 2; 36/17; 39/19; 21/10; 2; ; 19/10; 19/10; 2
Draw; 23/10; 11/5; 43/20; 21/10; 23/10; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 28/13; 21/10; 21/10; 11/5; 9/4; 11/5; 28/13; 11/5; ; 21/10; 2; 9/4
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 05:45:31 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 13/8; 6/4; 6/4; 29/20; 11/8; 6/4; 31/20; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 29/20; 7/5; 6/4; 16/11; 16/11; 7/5; 7/5; 16/11; 17/11; 13/9; 16/11; 6/4; ; 6/4; 7/5; 6/4
Cardiff; 2; 19/10; 39/20; 15/8; 21/10; 2; 2; 2; 2; 19/10; 2; 15/8; 2; 19/10; 21/10; 15/8; 2; 21/10; 37/19; 21/10; 2; 36/17; 39/19; 21/10; 15/8; ; 19/10; 19/10; 21/10
Draw; 11/5; 11/5; 43/20; 21/10; 23/10; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 28/13; 21/10; 21/10; 11/5; 9/4; 11/5; 28/13; 11/5; ; 21/10; 2; 11/5
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 06:30:19 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 13/8; 6/4; 6/4; 29/20; 11/8; 6/4; 31/20; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 29/20; 7/5; 6/4; 6/4; 16/11; 7/5; 7/5; 6/4; 17/11; 22/15; 16/11; 6/4; ; 6/4; 6/4; 6/4
Cardiff; 2; 19/10; 39/20; 15/8; 21/10; 2; 2; 2; 2; 19/10; 2; 15/8; 2; 19/10; 21/10; 15/8; 2; 21/10; 37/19; 21/10; 2; 36/17; 2; 21/10; 15/8; ; 19/10; 19/10; 21/10
Draw; 11/5; 11/5; 43/20; 21/10; 23/10; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 28/13; 28/13; 21/10; 21/10; 28/13; 9/4; 11/5; 28/13; 11/5; ; 21/10; 2; 11/5
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 07:45:29 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 13/8; 6/4; 6/4; 29/20; 11/8; 6/4; 6/4; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 7/5; 16/11; 6/4; 16/11; 7/5; 7/5; 6/4; 17/11; 22/15; 16/11; 6/4; ; 6/4; 6/4; 6/4
Cardiff; 2; 19/10; 39/20; 15/8; 21/10; 2; 85/40; 2; 2; 19/10; 2; 15/8; 2; 15/8; 21/10; 2; 2; 21/10; 37/19; 21/10; 2; 36/17; 2; 21/10; 15/8; ; 19/10; 19/10; 21/10
Draw; 11/5; 11/5; 43/20; 21/10; 23/10; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 11/5; 11/5; 9/4; 11/5; 11/5; 28/13; 28/13; 21/10; 21/10; 28/13; 9/4; 11/5; 28/13; 11/5; ; 21/10; 2; 11/5
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 08:20:43 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 13/8; 6/4; 6/4; 29/20; 11/8; 6/4; 31/20; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 7/5; 6/4; 6/4; 16/11; 7/5; 7/5; 6/4; 17/11; 53/35; 16/11; 6/4; ; 6/4; 6/4; 6/4
Cardiff; 2; 19/10; 39/20; 15/8; 21/10; 2; 2; 2; 2; 19/10; 2; 15/8; 2; 15/8; 21/10; 15/8; 2; 21/10; 37/19; 21/10; 2; 36/17; 37/19; 21/10; 15/8; ; 19/10; 19/10; 21/10
Draw; 11/5; 11/5; 43/20; 21/10; 23/10; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 11/5; 11/5; 9/4; 11/5; 11/5; 28/13; 28/13; 21/10; 21/10; 28/13; 9/4; 28/13; 28/13; 11/5; ; 21/10; 2; 11/5
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 09:45:30 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 13/8; 7/5; 6/4; 29/20; 11/8; 6/4; 31/20; 7/5; 6/4; 7/5; 6/4; 6/4; 6/4; 6/4; 7/5; 6/4; 6/4; 16/11; 7/5; 7/5; 6/4; 17/11; 13/9; 16/11; 6/4; ; 6/4; 6/4; 6/4
Cardiff; 2; 2; 39/20; 15/8; 21/10; 2; 2; 2; 2; 2; 2; 15/8; 2; 15/8; 21/10; 15/8; 2; 21/10; 37/19; 21/10; 2; 36/17; 39/19; 21/10; 15/8; ; 19/10; 19/10; 21/10
Draw; 11/5; 11/5; 43/20; 21/10; 23/10; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 11/5; 11/5; 9/4; 11/5; 11/5; 28/13; 28/13; 21/10; 21/10; 28/13; 9/4; 11/5; 28/13; 11/5; ; 21/10; 2; 11/5
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 11:45:31 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 13/8; 7/5; 31/20; 29/20; 8/5; 6/4; 31/20; 7/5; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 7/5; 16/11; 6/4; 16/11; 7/5; 7/5; 6/4; 19/12; 13/9; 16/11; 6/4; ; 6/4; 6/4; 13/8
Cardiff; 2; 2; 39/20; 15/8; 2; 2; 21/10; 2; 2; 19/10; 2; 2; 2; 19/10; 21/10; 2; 2; 21/10; 37/19; 21/10; 2; 36/17; 39/19; 21/10; 15/8; ; 19/10; 19/10; 2
Draw; 11/5; 11/5; 43/20; 21/10; 9/4; 11/5; 11/5; 21/10; 9/4; 21/10; 9/4; 9/4; 11/5; 11/5; 11/5; 11/5; 28/13; 28/13; 21/10; 21/10; 28/13; 11/5; 11/5; 28/13; 11/5; ; 21/10; 21/10; 11/5
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 12:22:24 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 13/8; 7/5; 31/20; 29/20; 8/5; 6/4; 31/20; 7/5; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 7/5; 16/11; 6/4; 16/11; 7/5; 7/5; 6/4; 19/12; 13/9; 16/11; 6/4; ; 6/4; 6/4; 13/8
Cardiff; 2; 2; 39/20; 15/8; 2; 2; 21/10; 2; 2; 19/10; 2; 2; 2; 15/8; 21/10; 2; 2; 21/10; 37/19; 21/10; 2; 36/17; 39/19; 21/10; 2; ; 19/10; 19/10; 2
Draw; 11/5; 11/5; 43/20; 21/10; 9/4; 11/5; 11/5; 21/10; 9/4; 21/10; 9/4; 9/4; 11/5; 11/5; 11/5; 11/5; 28/13; 28/13; 21/10; 21/10; 28/13; 11/5; 11/5; 28/13; 11/5; ; 21/10; 21/10; 11/5
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 13:06:32 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 13/8; 7/5; 31/20; 29/20; 8/5; 6/4; 31/20; 7/5; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 7/5; 16/11; 6/4; 16/11; 7/5; 7/5; 6/4; 19/12; 13/9; 16/11; 8/5; ; 6/4; 6/4; 13/8
Cardiff; 2; 2; 19/10; 15/8; 2; 39/20; 21/10; 2; 2; 19/10; 2; 2; 2; 15/8; 21/10; 2; 2; 21/10; 37/19; 21/10; 2; 36/17; 39/19; 21/10; 15/8; ; 19/10; 19/10; 2
Draw; 11/5; 11/5; 43/20; 21/10; 9/4; 11/5; 11/5; 21/10; 9/4; 21/10; 9/4; 9/4; 11/5; 11/5; 11/5; 11/5; 28/13; 28/13; 21/10; 21/10; 28/13; 11/5; 11/5; 28/13; 21/10; ; 21/10; 21/10; 11/5
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 13:45:38 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 13/8; 7/5; 31/20; 6/4; 8/5; 31/20; 31/20; 7/5; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 7/5; 16/11; 6/4; 16/11; 7/5; 7/5; 6/4; 19/12; 53/35; 16/11; 8/5; ; 6/4; 6/4; 13/8
Cardiff; 2; 2; 19/10; 15/8; 2; 39/20; 2; 2; 2; 19/10; 2; 21/10; 2; 15/8; 21/10; 2; 2; 21/10; 37/19; 21/10; 2; 36/17; 37/19; 21/10; 15/8; ; 19/10; 19/10; 2
Draw; 11/5; 11/5; 43/20; 21/10; 9/4; 11/5; 11/5; 21/10; 11/5; 2; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 28/13; 28/13; 21/10; 21/10; 28/13; 11/5; 11/5; 28/13; 21/10; ; 21/10; 21/10; 11/5
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 15:45:39 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 13/8; 6/4; 31/20; 31/20; 8/5; 31/20; 31/20; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 7/5; 6/4; 17/11; 16/11; 7/5; 7/5; 17/11; 8/5; 53/35; 16/11; 8/5; ; 8/5; 6/4; 13/8
Cardiff; 2; 19/10; 19/10; 19/10; 2; 19/10; 2; 2; 2; 19/10; 2; 21/10; 39/20; 9/5; 21/10; 2; 37/19; 21/10; 37/19; 21/10; 37/19; 21/10; 37/19; 21/10; 15/8; ; 19/10; 19/10; 2
Draw; 11/5; 11/5; 43/20; 2; 9/4; 11/5; 11/5; 21/10; 11/5; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 2; 28/13; 28/13; 21/10; 21/10; 28/13; 11/5; 11/5; 28/13; 21/10; ; 21/10; 21/10; 11/5
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 16:22:13 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 13/8; 6/4; 31/20; 6/4; 8/5; 31/20; 13/8; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 7/5; 6/4; 17/11; 16/11; 7/5; 7/5; 17/11; 8/5; 53/35; 16/11; 8/5; ; 8/5; 6/4; 13/8
Cardiff; 2; 19/10; 19/10; 9/5; 2; 19/10; 2; 2; 2; 19/10; 2; 21/10; 39/20; 15/8; 21/10; 2; 37/19; 21/10; 37/19; 21/10; 37/19; 21/10; 37/19; 21/10; 15/8; ; 19/10; 19/10; 2
Draw; 11/5; 11/5; 43/20; 21/10; 9/4; 11/5; 11/5; 21/10; 11/5; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 2; 28/13; 28/13; 21/10; 21/10; 28/13; 11/5; 11/5; 28/13; 21/10; ; 21/10; 21/10; 11/5
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 17:45:40 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 13/8; 6/4; 31/20; 31/20; 8/5; 31/20; 13/8; 7/5; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 8/5; 6/4; 17/11; 16/11; 7/5; 7/5; 17/11; 8/5; 53/35; 16/11; 8/5; ; 8/5; 6/4; 13/8
Cardiff; 2; 19/10; 19/10; 15/8; 2; 39/20; 2; 2; 2; 15/8; 2; 21/10; 39/20; 15/8; 19/10; 2; 37/19; 21/10; 37/19; 21/10; 37/19; 21/10; 37/19; 21/10; 15/8; ; 19/10; 19/10; 2
Draw; 11/5; 11/5; 43/20; 21/10; 9/4; 11/5; 11/5; 21/10; 11/5; 21/10; 9/4; 11/5; 11/5; 11/5; 21/10; 2; 28/13; 28/13; 21/10; 21/10; 28/13; 11/5; 11/5; 28/13; 21/10; ; 21/10; 21/10; 11/5
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 18:32:08 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 13/8; 6/4; 31/20; 31/20; 8/5; 31/20; 13/8; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 8/5; 6/4; 17/11; 17/11; 7/5; 6/4; 17/11; 8/5; 14/9; 17/11; 8/5; ; 8/5; 6/4; 13/8
Cardiff; 2; 19/10; 19/10; 19/10; 2; 19/10; 2; 15/8; 2; 19/10; 2; 19/10; 39/20; 15/8; 19/10; 15/8; 37/19; 2; 37/19; 2; 37/19; 21/10; 19/10; 2; 2; ; 19/10; 19/10; 2
Draw; 11/5; 11/5; 43/20; 21/10; 9/4; 11/5; 11/5; 21/10; 11/5; 2; 9/4; 11/5; 11/5; 11/5; 21/10; 11/5; 28/13; 28/13; 21/10; 21/10; 28/13; 11/5; 28/13; 28/13; 21/10; ; 21/10; 21/10; 11/5
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 19:45:32 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 13/8; 6/4; 31/20; 31/20; 8/5; 8/5; 13/8; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 8/5; 6/4; 17/11; 17/11; 7/5; 6/4; 17/11; 8/5; 14/9; 17/11; 8/5; ; 8/5; 8/5; 13/8
Cardiff; 2; 19/10; 19/10; 19/10; 2; 19/10; 2; 15/8; 2; 19/10; 2; 19/10; 39/20; 15/8; 19/10; 15/8; 37/19; 2; 37/19; 2; 37/19; 21/10; 19/10; 2; 15/8; ; 19/10; 19/10; 2
Draw; 11/5; 11/5; 43/20; 21/10; 9/4; 11/5; 11/5; 21/10; 11/5; 2; 9/4; 11/5; 11/5; 11/5; 21/10; 11/5; 21/10; 28/13; 21/10; 21/10; 21/10; 11/5; 28/13; 28/13; 21/10; ; 21/10; 21/10; 11/5
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 20:20:42 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; 13/8; 6/4; 8/5; 31/20; 8/5; 8/5; 13/8; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 8/5; 6/4; 17/11; 17/11; 7/5; 6/4; 17/11; 8/5; 14/9; 17/11; 8/5; ; 13/8; 8/5; 13/8
Cardiff; 2; 19/10; 15/8; 19/10; 2; 19/10; 2; 15/8; 2; 19/10; 2; 19/10; 39/20; 9/5; 19/10; 15/8; 19/10; 2; 37/19; 2; 19/10; 21/10; 28/15; 2; 15/8; ; 19/10; 19/10; 2
Draw; 11/5; 11/5; 43/20; 21/10; 9/4; 11/5; 11/5; 21/10; 11/5; 2; 9/4; 11/5; 11/5; 11/5; 21/10; 11/5; 21/10; 28/13; 21/10; 21/10; 21/10; 11/5; 11/5; 28/13; 21/10; ; 21/10; 21/10; 11/5
META; english/championship/cardiff-v-sheffield-wednesday; 2016-10-19 21:45:30 GMT+3; 2016-10-19 19:45; e70300-dr003
Sheffield Wednesday; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; 
Cardiff; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; 37/19; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; 43/20; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; 
