META; english/premier-league/west-brom-v-bournemouth; 2017-02-05 16:17:40 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; ; 11/10; 5/4; ; ; ; ; 6/5; ; ; ; ; ; ; ; 6/5; ; 13/10; ; ; 5/4; ; ; ; ; ; ; 
Draw; ; 23/10; 11/5; ; ; ; ; 11/5; ; ; ; ; ; ; ; 12/5; ; 11/5; ; ; 119/50; ; ; ; ; ; ; 
Bournemouth; ; 5/2; 2; ; ; ; ; 9/4; ; ; ; ; ; ; ; 5/2; ; 21/10; ; ; 131/50; ; ; ; ; ; ; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-05 20:17:07 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 11/10; 11/10; 5/4; ; ; ; 23/20; 6/5; 11/10; 11/10; 11/10; ; ; ; ; 15/13; 1; 1; 21/20; 1; 119/100; ; 21/20; ; ; ; ; 
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 29/25; 13/12; 21/20; 21/20; ; 21/20; 21/20; 
Draw; 23/10; 12/5; 23/10; 9/4; 12/5; 12/5; 12/5; 12/5; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 3; 14/5; 29/10; 12/5; 13/5; 11/4; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 27/10; 13/5; 14/5; 27/10; 141/50; 27/10; 14/5; 13/5; ; 14/5; 11/4; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-15 20:16:43 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 21/20; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 29/25; 13/12; 21/20; 21/20; ; 21/20; 21/20; 
Draw; 23/10; 12/5; 11/5; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 49/20; 5/2; 11/4; 14/5; 29/10; 12/5; 13/5; 11/4; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 27/10; 13/5; 14/5; 27/10; 141/50; 27/10; 14/5; 13/5; ; 14/5; 11/4; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-16 00:16:23 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 29/25; 13/12; 21/20; 21/20; ; 11/10; 21/20; 
Draw; 23/10; 12/5; 23/10; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 3; 14/5; 29/10; 12/5; 13/5; 11/4; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 27/10; 13/5; 14/5; 27/10; 141/50; 27/10; 14/5; 13/5; ; 14/5; 11/4; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-16 04:16:13 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 29/25; 13/12; 21/20; 21/20; ; 21/20; 21/20; 
Draw; 23/10; 12/5; 23/10; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 11/4; 14/5; 29/10; 12/5; 13/5; 11/4; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 27/10; 13/5; 14/5; 27/10; 141/50; 27/10; 14/5; 13/5; ; 14/5; 11/4; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-16 08:16:19 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 29/25; 13/12; 21/20; 21/20; ; 21/20; 21/20; 
Draw; 23/10; 12/5; 23/10; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 11/4; 14/5; 29/10; 12/5; 13/5; 11/4; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 27/10; 13/5; 14/5; 27/10; 141/50; 27/10; 14/5; 13/5; ; 14/5; 11/4; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-16 12:16:36 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 29/25; 13/12; 21/20; 21/20; ; 21/20; 21/20; 
Draw; 23/10; 12/5; 23/10; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 11/4; 14/5; 29/10; 12/5; 13/5; 11/4; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 27/10; 13/5; 14/5; 27/10; 141/50; 27/10; 14/5; 13/5; ; 14/5; 14/5; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-16 16:16:21 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 29/25; 13/12; 21/20; 21/20; ; 21/20; 10/9; 
Draw; 23/10; 12/5; 23/10; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 11/4; 14/5; 29/10; 12/5; 13/5; 11/4; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 27/10; 13/5; 14/5; 27/10; 141/50; 27/10; 14/5; 13/5; ; 14/5; 11/4; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-16 20:16:17 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 1; 21/20; 21/20; 1; 29/25; 13/12; 21/20; 21/20; ; 21/20; 10/9; 
Draw; 23/10; 12/5; 23/10; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 11/4; 14/5; 29/10; 12/5; 13/5; 11/4; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 27/10; 13/5; 14/5; 27/10; 141/50; 27/10; 14/5; 13/5; ; 14/5; 11/4; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-17 00:16:47 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 29/25; 13/12; 21/20; 21/20; ; 11/10; 21/20; 
Draw; 23/10; 12/5; 23/10; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 23/10; ; 23/10; 9/4; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 3; 14/5; 29/10; 12/5; 13/5; 11/4; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 27/10; 13/5; 14/5; 27/10; 141/50; 27/10; 14/5; 13/5; ; 14/5; 13/5; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-17 04:16:17 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 29/25; 13/12; 21/20; 21/20; ; 11/10; 21/20; 
Draw; 23/10; 12/5; 23/10; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 23/10; ; 23/10; 9/4; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 3; 14/5; 29/10; 12/5; 13/5; 11/4; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 27/10; 13/5; 14/5; 27/10; 141/50; 27/10; 14/5; 13/5; ; 14/5; 13/5; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-17 08:16:15 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 1; 21/20; 21/20; 1; 29/25; 13/12; 21/20; 21/20; ; 11/10; 21/20; 
Draw; 23/10; 12/5; 23/10; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 11/4; 14/5; 29/10; 12/5; 13/5; 11/4; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 11/4; 13/5; 14/5; 11/4; 141/50; 27/10; 14/5; 13/5; ; 14/5; 14/5; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-17 12:16:42 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 111/100; 13/12; 21/20; 21/20; ; 11/10; 10/9; 
Draw; 23/10; 12/5; 23/10; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 3; 14/5; 29/10; 12/5; 13/5; 11/4; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 27/10; 13/5; 14/5; 27/10; 149/50; 27/10; 14/5; 13/5; ; 14/5; 14/5; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-17 16:16:40 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 111/100; 13/12; 21/20; 21/20; ; 11/10; 10/9; 
Draw; 23/10; 12/5; 23/10; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 3; 14/5; 29/10; 12/5; 13/5; 11/4; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 27/10; 13/5; 14/5; 27/10; 149/50; 27/10; 14/5; 13/5; ; 11/4; 11/4; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-17 20:16:26 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 111/100; 13/12; 21/20; 21/20; ; 10/9; 10/9; 
Draw; 23/10; 12/5; 23/10; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 3; 14/5; 29/10; 12/5; 13/5; 11/4; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 27/10; 13/5; 14/5; 27/10; 149/50; 27/10; 14/5; 13/5; ; 11/4; 11/4; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-18 00:16:24 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 111/100; 13/12; 21/20; 21/20; ; 11/10; 21/20; 
Draw; 23/10; 12/5; 23/10; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 3; 14/5; 29/10; 12/5; 13/5; 11/4; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 27/10; 13/5; 14/5; 27/10; 149/50; 27/10; 14/5; 13/5; ; 11/4; 11/4; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-18 04:16:28 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 111/100; 13/12; 21/20; 21/20; ; 11/10; 21/20; 
Draw; 23/10; 12/5; 23/10; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 23/10; ; 23/10; 9/4; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 11/4; 14/5; 29/10; 12/5; 13/5; 11/4; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 27/10; 13/5; 14/5; 27/10; 149/50; 27/10; 14/5; 13/5; ; 11/4; 13/5; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-18 08:16:25 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 111/100; 13/12; 21/20; 21/20; ; 11/10; 21/20; 
Draw; 23/10; 12/5; 23/10; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 11/4; 14/5; 29/10; 12/5; 13/5; 11/4; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 27/10; 13/5; 14/5; 27/10; 149/50; 27/10; 14/5; 13/5; ; 11/4; 11/4; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-18 12:16:39 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 1; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 111/100; 13/12; 21/20; 21/20; ; 10/9; 10/9; 
Draw; 23/10; 12/5; 23/10; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 11/4; 13/5; 5/2; 11/4; 14/5; 29/10; 12/5; 13/5; 11/4; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 27/10; 13/5; 14/5; 27/10; 149/50; 27/10; 14/5; 13/5; ; 11/4; 11/4; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-18 16:16:24 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 1; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 111/100; 13/12; 21/20; 21/20; ; 10/9; 10/9; 
Draw; 23/10; 12/5; 23/10; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 11/4; 13/5; 5/2; 3; 14/5; 29/10; 12/5; 13/5; 14/5; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 27/10; 13/5; 14/5; 27/10; 149/50; 27/10; 14/5; 13/5; ; 11/4; 27/10; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-18 20:16:39 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 1; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 1; 21/20; 21/20; 1; 111/100; 13/12; 21/20; 21/20; ; 10/9; 10/9; 
Draw; 23/10; 12/5; 23/10; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 11/4; 13/5; 5/2; 11/4; 14/5; 29/10; 12/5; 13/5; 14/5; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 11/4; 13/5; 14/5; 11/4; 149/50; 27/10; 14/5; 13/5; ; 11/4; 27/10; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-19 00:16:18 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 1; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 1; 21/20; 21/20; 1; 111/100; 13/12; 21/20; 21/20; ; 10/9; 21/20; 
Draw; 23/10; 12/5; 23/10; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 23/10; ; 23/10; 9/4; 
Bournemouth; 14/5; 11/4; 13/5; 5/2; 11/4; 14/5; 29/10; 12/5; 13/5; 14/5; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 11/4; 13/5; 14/5; 11/4; 149/50; 27/10; 14/5; 13/5; ; 11/4; 13/5; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-19 04:16:20 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 1; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 1; 21/20; 21/20; 1; 111/100; 13/12; 21/20; 21/20; ; 10/9; 21/20; 
Draw; 23/10; 12/5; 23/10; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 23/10; ; 23/10; 9/4; 
Bournemouth; 14/5; 11/4; 13/5; 5/2; 11/4; 14/5; 29/10; 12/5; 13/5; 14/5; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 11/4; 13/5; 14/5; 11/4; 149/50; 27/10; 14/5; 13/5; ; 11/4; 13/5; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-19 08:16:36 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 1; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 111/100; 13/12; 21/20; 21/20; ; 10/9; 21/20; 
Draw; 23/10; 12/5; 23/10; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 23/10; ; 23/10; 9/4; 
Bournemouth; 14/5; 11/4; 13/5; 5/2; 11/4; 14/5; 29/10; 12/5; 13/5; 14/5; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 11/4; 13/5; 14/5; 11/4; 149/50; 27/10; 14/5; 13/5; ; 11/4; 13/5; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-19 12:16:38 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 1; 21/20; 21/20; 1; 111/100; 13/12; 21/20; 21/20; ; 10/9; 10/9; 
Draw; 23/10; 12/5; 23/10; 9/4; 5/2; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 11/4; 14/5; 29/10; 12/5; 13/5; 14/5; 5/2; 13/5; 53/20; 13/5; 11/4; 27/10; 11/4; 13/5; 14/5; 11/4; 149/50; 27/10; 14/5; 13/5; ; 11/4; 27/10; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-19 16:16:43 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 1; 21/20; 21/20; 1; 111/100; 13/12; 21/20; 21/20; ; 10/9; 10/9; 
Draw; 23/10; 12/5; 23/10; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 27/10; 5/2; 3; 14/5; 29/10; 12/5; 13/5; 14/5; 5/2; 13/5; 53/20; 13/5; 11/4; 13/5; 11/4; 13/5; 14/5; 11/4; 149/50; 27/10; 14/5; 13/5; ; 11/4; 11/4; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-19 20:16:27 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 113/100; 13/12; 21/20; 1; ; 10/9; 10/9; 
Draw; 23/10; 12/5; 47/20; 9/4; 5/2; 12/5; 5/2; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 11/4; 14/5; 14/5; 12/5; 13/5; 11/4; 12/5; 13/5; 53/20; 13/5; 11/4; 13/5; 27/10; 13/5; 14/5; 27/10; 29/10; 27/10; 14/5; 13/5; ; 11/4; 11/4; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-20 00:16:20 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 1; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 113/100; 13/12; 21/20; 21/20; ; 11/10; 10/9; 
Draw; 23/10; 12/5; 47/20; 9/4; 5/2; 12/5; 5/2; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 14/5; 13/5; 13/5; 5/2; 11/4; 11/4; 11/4; 12/5; 13/5; 11/4; 12/5; 13/5; 53/20; 5/2; 11/4; 13/5; 11/4; 13/5; 14/5; 11/4; 29/10; 27/10; 14/5; 13/5; ; 11/4; 11/4; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-20 04:16:19 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 113/100; 13/12; 21/20; 21/20; ; 11/10; 10/9; 
Draw; 23/10; 12/5; 47/20; 9/4; 5/2; 12/5; 5/2; 23/10; 12/5; 9/4; 11/5; 23/10; 47/20; 5/2; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 23/10; ; 23/10; 23/10; 
Bournemouth; 13/5; 13/5; 13/5; 5/2; 11/4; 11/4; 11/4; 12/5; 13/5; 14/5; 12/5; 13/5; 53/20; 5/2; 11/4; 13/5; 11/4; 13/5; 14/5; 11/4; 29/10; 27/10; 14/5; 13/5; ; 11/4; 11/4; 
META; english/premier-league/west-brom-v-bournemouth; 2017-02-20 08:16:23 GMT+2; 2017-02-25 15:00; e70300-dr003
West Brom; 21/20; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 21/20; 21/20; 23/20; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 113/100; 13/12; 21/20; 21/20; ; 11/10; 10/9; 
