META; english/championship/barnsley-v-leeds; 2017-11-19 02:21:15 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; ; 7/5; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; 6/4; 7/5; ; ; 4/6; ; 
Barnsley; ; 9/5; ; ; ; ; ; ; 40/17; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 19/10; 19/10; ; ; 1; ; 
Draw; ; 9/4; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 27/11; ; 9/4; 47/20; ; ; 21/10; ; 
META; english/championship/barnsley-v-leeds; 2017-11-19 10:21:19 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; ; 7/5; ; ; ; ; ; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; 6/4; 7/5; ; ; 4/6; ; 
Barnsley; ; 9/5; ; ; ; ; ; ; 40/17; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 19/10; 19/10; ; ; 20/21; ; 
Draw; ; 9/4; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 27/11; ; 9/4; 47/20; ; ; 21/10; ; 
META; english/championship/barnsley-v-leeds; 2017-11-19 14:21:24 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; 13/8; 7/5; ; ; ; ; 6/4; 6/4; 7/5; ; ; ; ; ; ; ; ; 6/4; ; ; 7/5; ; 8/5; 13/8; 6/4; ; 8/11; ; 
Leeds; 9/5; 7/4; 7/4; 9/5; 17/10; 9/5; 7/4; 7/4; 13/8; 9/5; 13/8; 9/5; 9/5; 9/5; 15/8; 7/4; 28/17; 7/4; 9/5; 9/5; 8/5; 7/4; 15/8; 7/4; 9/5; ; 9/5; 9/5; 15/8
Draw; 5/2; 12/5; 23/10; 23/10; 23/10; 5/2; 23/10; 23/10; 27/11; 23/10; 23/10; 23/10; 23/10; 47/20; 5/2; 12/5; 9/4; 40/17; 51/20; 27/11; 12/5; 12/5; 5/2; 47/20; 12/5; ; 23/10; 23/10; 5/2
META; english/championship/barnsley-v-leeds; 2017-11-25 02:20:58 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Barnsley; 8/5; 6/4; 6/4; 6/4; 33/20; 13/8; 8/5; 6/4; 13/8; 6/4; 13/8; 6/4; 6/4; 6/4; 6/4; 6/4; 8/5; 17/11; 13/8; 22/15; 8/5; 8/5; 31/20; 8/5; 17/11; ; 6/4; 6/4; 8/5
Leeds; 9/5; 9/5; 7/4; 9/5; 17/10; 9/5; 7/4; 7/4; 13/8; 7/4; 13/8; 9/5; 9/5; 9/5; 15/8; 7/4; 28/17; 7/4; 9/5; 9/5; 8/5; 7/4; 15/8; 7/4; 9/5; ; 7/4; 17/10; 9/5
Draw; 5/2; 5/2; 23/10; 23/10; 23/10; 5/2; 23/10; 23/10; 27/11; 23/10; 23/10; 23/10; 23/10; 47/20; 5/2; 12/5; 9/4; 12/5; 51/20; 27/11; 12/5; 12/5; 5/2; 47/20; 12/5; ; 12/5; 9/4; 5/2
META; english/championship/barnsley-v-leeds; 2017-11-25 10:21:05 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Barnsley; 8/5; 8/5; 8/5; 6/4; 33/20; 13/8; 8/5; 13/8; 13/8; 13/8; 8/5; 13/8; 8/5; 31/20; 13/8; 6/4; 8/5; 17/11; 13/8; 11/7; 8/5; 8/5; 13/8; 8/5; 17/11; ; 13/8; 6/4; 8/5
Leeds; 9/5; 7/4; 7/4; 9/5; 17/10; 9/5; 7/4; 17/10; 13/8; 9/5; 7/4; 13/8; 7/4; 7/4; 7/4; 7/4; 28/17; 7/4; 9/5; 17/10; 8/5; 7/4; 9/5; 7/4; 7/4; ; 17/10; 13/8; 9/5
Draw; 5/2; 12/5; 12/5; 23/10; 23/10; 5/2; 23/10; 23/10; 27/11; 12/5; 12/5; 23/10; 23/10; 47/20; 5/2; 12/5; 9/4; 40/17; 51/20; 27/11; 12/5; 12/5; 5/2; 47/20; 12/5; ; 23/10; 23/10; 5/2
META; english/championship/barnsley-v-leeds; 2017-11-25 14:21:23 GMT+2; 2017-11-25 12:30; Nothing; Xlenovo
Leeds; 8/5; 8/5; 8/5; 8/5; 17/10; 13/8; 13/8; 17/10; 17/11; 8/5; 8/5; 31/20; 6/4; 31/20; 13/8; 8/5; 28/17; 17/11; 17/10; 6/4; 6/4; 17/10; 13/8; 31/20; 8/5; ; 13/8; 13/8; 13/8
Barnsley; 9/5; 7/4; 7/4; 17/10; 33/20; 9/5; 9/5; 13/8; 7/4; 9/5; 7/4; 7/4; 9/5; 7/4; 9/5; 7/4; 8/5; 7/4; 9/5; 9/5; 17/10; 15/8; 9/5; 9/5; 9/5; ; 9/5; 9/5; 15/8
Draw; 5/2; 12/5; 12/5; 23/10; 23/10; 12/5; 23/10; 23/10; 27/11; 12/5; 12/5; 9/4; 23/10; 47/20; 12/5; 12/5; 9/4; 23/10; 49/20; 12/5; 12/5; 9/4; 5/2; 12/5; 23/10; ; 11/5; 23/10; 12/5
