META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-16 22:20:43 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; ; ; ; ; ; ; 7/5; 13/10; 13/10; ; ; ; ; ; ; 7/5; ; 5/4; ; ; 13/10; 7/5; 7/5; 11/8; 13/10; ; 5/6; ; 
Sheffield Wednesday; 17/10; 8/5; 13/8; 13/8; 6/4; 17/10; 8/5; 13/8; 8/5; 13/8; 8/5; 17/10; 13/8; 17/10; 13/8; 8/5; 6/4; 8/5; 17/10; 17/10; 17/11; 13/8; 17/10; 33/20; 28/17; ; 13/8; 13/8; 13/8
Middlesbrough; 19/10; 9/5; 7/4; 9/5; 9/5; 15/8; 9/5; 9/5; 24/13; 7/4; 15/8; 9/5; 17/10; 9/5; 9/5; 15/8; 9/5; 9/5; 47/25; 31/18; 9/5; 9/5; 15/8; 7/4; 9/5; ; 9/5; 9/5; 15/8
Draw; 11/5; 21/10; 21/10; 21/10; 11/5; 23/10; 21/10; 21/10; 9/4; 21/10; 9/4; 2; 11/5; 43/20; 11/5; 11/5; 11/5; 11/5; 23/10; 11/5; 11/5; 11/5; 23/10; 21/10; 9/4; ; 21/10; 21/10; 23/10
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-22 18:21:42 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 13/8; 6/4; 17/11; 13/8; 17/10; 17/10; 13/8; 13/8; 8/5; 31/20; 8/5; 8/5; 13/8; 33/20; 13/8; 8/5; 6/4; 8/5; 6/4; 19/12; 17/11; 13/8; 8/5; 13/8; 8/5; ; 8/5; 6/4; 13/8
Middlesbrough; 2; 19/10; 28/15; 9/5; 47/25; 15/8; 9/5; 9/5; 24/13; 9/5; 15/8; 9/5; 17/10; 37/20; 9/5; 15/8; 9/5; 9/5; 9/5; 35/19; 9/5; 9/5; 2; 37/20; 9/5; ; 19/10; 19/10; 15/8
Draw; 11/5; 11/5; 21/10; 21/10; 23/10; 23/10; 11/5; 21/10; 9/4; 21/10; 9/4; 21/10; 11/5; 43/20; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 9/4; 21/10; 9/4; ; 21/10; 21/10; 23/10
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-22 22:21:41 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 13/8; 6/4; 17/11; 13/8; 33/20; 13/8; 8/5; 8/5; 8/5; 31/20; 8/5; 8/5; 13/8; 33/20; 13/8; 8/5; 6/4; 8/5; 6/4; 19/12; 17/11; 13/8; 8/5; 13/8; 8/5; ; 6/4; 6/4; 8/5
Middlesbrough; 2; 19/10; 28/15; 9/5; 39/20; 2; 15/8; 15/8; 24/13; 9/5; 15/8; 9/5; 17/10; 37/20; 9/5; 15/8; 9/5; 9/5; 9/5; 35/19; 9/5; 9/5; 2; 37/20; 9/5; ; 19/10; 19/10; 19/10
Draw; 11/5; 11/5; 21/10; 21/10; 23/10; 9/4; 11/5; 21/10; 9/4; 21/10; 9/4; 21/10; 11/5; 43/20; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 9/4; 21/10; 9/4; ; 21/10; 21/10; 23/10
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-23 02:21:19 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Sheffield Wednesday; 13/8; 6/4; 17/11; 13/8; 33/20; 13/8; 8/5; 8/5; 8/5; 31/20; 8/5; 8/5; 8/5; 33/20; 8/5; 8/5; 6/4; 17/11; 6/4; 19/12; 17/11; 13/8; 8/5; 13/8; 17/11; ; 6/4; 6/4; 8/5
Middlesbrough; 2; 19/10; 28/15; 9/5; 39/20; 2; 15/8; 15/8; 24/13; 15/8; 15/8; 9/5; 15/8; 15/8; 9/5; 19/10; 9/5; 24/13; 9/5; 35/19; 9/5; 9/5; 2; 37/20; 19/10; ; 19/10; 15/8; 19/10
Draw; 11/5; 11/5; 21/10; 21/10; 23/10; 9/4; 11/5; 21/10; 9/4; 2; 9/4; 21/10; 21/10; 43/20; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 9/4; 21/10; 11/5; ; 21/10; 21/10; 23/10
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-23 10:21:21 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Middlesbrough; 7/4; 13/8; 28/17; 9/5; 9/5; 15/8; 7/4; 7/4; 24/13; 13/8; 15/8; 17/10; 17/10; 17/10; 7/4; 7/4; 9/5; 17/10; 9/5; 5/3; 9/5; 7/4; 7/4; 7/4; 17/10; ; 17/10; 13/8; 7/4
Sheffield Wednesday; 19/10; 9/5; 7/4; 13/8; 9/5; 7/4; 7/4; 17/10; 28/17; 7/4; 8/5; 7/4; 9/5; 9/5; 13/8; 9/5; 6/4; 7/4; 6/4; 33/19; 8/5; 7/4; 15/8; 7/4; 9/5; ; 7/4; 7/4; 15/8
Draw; 11/5; 21/10; 21/10; 21/10; 113/ 50; 9/4; 21/10; 21/10; 28/13; 2; 9/4; 21/10; 21/10; 43/20; 9/4; 21/10; 11/5; 21/10; 11/5; 11/5; 21/10; 11/5; 11/5; 21/10; 28/13; ; 21/10; 21/10; 11/5
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-23 14:21:45 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Middlesbrough; 13/8; 13/8; 17/11; 8/5; 13/8; 13/8; 13/8; 6/4; 17/11; 31/20; 13/8; 6/4; 6/4; 31/20; 8/5; 8/5; 28/17; 17/11; 28/17; 52/35; 6/4; 8/5; 31/20; 31/20; 8/5; ; 6/4; 6/4; 13/8
Sheffield Wednesday; 2; 9/5; 2; 15/8; 41/20; 2; 2; 15/8; 37/19; 21/10; 15/8; 19/10; 2; 39/20; 19/10; 2; 17/10; 37/19; 17/10; 2; 19/10; 2; 21/10; 2; 37/19; ; 19/10; 19/10; 2
Draw; 11/5; 21/10; 21/10; 21/10; 11/5; 9/4; 21/10; 21/10; 28/13; 21/10; 9/4; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; 21/10; 28/13; 21/10; 85/40; 11/5; 21/10; 21/10; ; 21/10; 21/10; 2
META; english/championship/sheffield-wednesday-v-middlesbrough; 2017-12-23 18:21:11 GMT+2; 2017-12-23 15:00; In Play; Xlenovo
Sheffield Wednesday; 4/7; 2/3; 3/5; 8/13; 191/ 100; ; 7/10; 8/13; 6/11; ; 8/13; 1/2; 4/7; 2; 11/20; 8/15; 8/15; 7/11; 1/2; ; 6/11; ; 4/7; 8/15; 19/29; ; 4/6; ; 2/5
Draw; 12/5; 5/2; 12/5; 12/5; 121/ 50; ; 5/2; 9/4; 9/4; ; 9/4; 11/5; 21/10; 11/5; 11/5; 12/5; 12/5; 27/11; 12/5; ; 9/4; ; ; 49/20; 12/5; ; 23/10; ; 13/10
Middlesbrough; 6; 5; 13/2; 6; 29/20; ; 5; 6; 13/2; ; 6; 11/2; 11/2; 6/4; 6; 13/2; 27/4; 49/10; 29/4; ; 7; ; 13/2; 8; 5; ; 28/5; ; 23/10
