META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-05 22:20:08 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Barcelona; ; ; ; ; 1; ; ; 10/11; ; ; ; 10/11; ; ; ; ; 19/20; ; 49/50; ; ; 10/11; ; 10/11; ; ; ; ; 
Valencia; 10/3; 3; 3; ; 10/3; ; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; ; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 57/17; ; 12/5; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-13 02:19:55 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; ; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; 8/15; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; ; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; 21/10; ; 
Valencia; 10/3; 3; 3; ; 10/3; ; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; ; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 57/17; ; 12/5; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-13 10:20:00 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; ; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; 8/11; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; 8/15; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; 14/5; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; 23/10; ; 
Valencia; 10/3; 3; 3; ; 10/3; ; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; 3; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 57/17; ; 5/2; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-13 14:20:13 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; ; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; 8/11; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; 8/15; ; 
Draw; 13/5; 16/5; 3; ; 29/10; ; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; 14/5; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; 21/10; ; 
Valencia; 10/3; 3; 3; ; 10/3; ; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; 3; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 57/17; ; 23/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-13 18:19:55 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; 8/11; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; 4/6; ; 
Draw; 13/5; 16/5; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; 14/5; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; 1/3; ; 
Valencia; 10/3; 3; 3; ; 10/3; 7/2; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; 3; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 57/17; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-13 22:19:56 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; 8/11; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; 4/6; ; 
Draw; 13/5; 16/5; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; 14/5; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; 21/10; ; 
Valencia; 10/3; 3; 3; ; 10/3; 7/2; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; 3; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 57/17; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-14 02:19:48 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 3/4; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; 8/11; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 3/4; 3/4; 14/19; ; 4/6; ; 
Draw; 13/5; 16/5; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; 14/5; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 11/4; ; 21/10; ; 
Valencia; 10/3; 3; 3; ; 10/3; 7/2; 16/5; 10/3; 7/2; 3; ; 3; ; 31/10; 10/3; 3; 16/5; 33/10; 73/20; 41/13; 17/5; 3; 31/10; 3; 57/17; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-14 10:20:03 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 3/4; 8/11; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 3/4; 3/4; 8/11; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 8/11; 8/11; 14/19; ; 4/6; ; 
Draw; 11/4; 16/5; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 14/5; ; 31/10; 3; 14/5; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 14/5; ; 21/10; ; 
Valencia; 7/2; 16/5; 3; ; 10/3; 7/2; 16/5; 10/3; 7/2; 3; ; 10/3; ; 16/5; 10/3; 16/5; 16/5; 57/17; 73/20; 41/13; 17/5; 3; 33/10; 16/5; 57/17; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-14 14:20:01 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 3/4; 8/11; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 3/4; 3/4; ; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 8/11; 8/11; 14/19; ; 4/6; ; 
Draw; 11/4; 16/5; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 14/5; ; 31/10; 3; ; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 14/5; ; 21/10; ; 
Valencia; 7/2; 16/5; 3; ; 10/3; 7/2; 16/5; 10/3; 7/2; 3; ; 10/3; ; 16/5; 10/3; ; 16/5; 57/17; 73/20; 41/13; 17/5; 3; 33/10; 16/5; 57/17; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-14 18:19:53 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 3/4; 8/11; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 3/4; 3/4; ; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 8/11; 8/11; 14/19; ; 4/6; ; 
Draw; 11/4; 16/5; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 14/5; ; 31/10; 3; ; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 14/5; ; 21/10; ; 
Valencia; 7/2; 16/5; 3; ; 10/3; 7/2; 16/5; 10/3; 7/2; 3; ; 10/3; ; 16/5; 10/3; ; 16/5; 57/17; 73/20; 41/13; 17/5; 3; 33/10; 16/5; 57/17; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-14 22:19:56 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 3/4; 8/11; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 3/4; 3/4; ; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 8/11; 8/11; 14/19; ; 4/6; ; 
Draw; 11/4; 16/5; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 14/5; ; 31/10; 3; ; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 14/5; ; 21/10; ; 
Valencia; 7/2; 16/5; 3; ; 10/3; 7/2; 16/5; 10/3; 7/2; 3; ; 10/3; ; 16/5; 10/3; ; 16/5; 57/17; 73/20; 41/13; 17/5; 3; 33/10; 16/5; 57/17; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-15 02:19:56 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 3/4; 8/11; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 3/4; 3/4; ; 3/4; 14/19; 81/100; 7/9; 3/4; 8/11; 8/11; 8/11; 14/19; ; 4/6; ; 
Draw; 11/4; 16/5; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 14/5; ; 31/10; 3; ; 14/5; 11/4; 61/20; 3; 37/13; 3; 16/5; 16/5; 14/5; ; 21/10; ; 
Valencia; 7/2; 16/5; 3; ; 10/3; 7/2; 16/5; 10/3; 7/2; 3; ; 10/3; ; 16/5; 10/3; ; 16/5; 57/17; 73/20; 41/13; 17/5; 3; 33/10; 16/5; 57/17; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-15 10:19:58 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 3/4; 8/11; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 3/4; 3/4; ; 3/4; 14/19; 81/100; 3/4; 3/4; 8/11; 3/4; 8/11; 14/19; ; 4/6; ; 
Draw; 11/4; 16/5; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 14/5; ; 31/10; 3; ; 14/5; 11/4; 61/20; 31/10; 37/13; 3; 16/5; 16/5; 14/5; ; 21/10; ; 
Valencia; 7/2; 16/5; 16/5; ; 10/3; 7/2; 16/5; 10/3; 7/2; 3; ; 10/3; ; 16/5; 10/3; ; 16/5; 57/17; 73/20; 13/4; 17/5; 3; 16/5; 16/5; 57/17; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-15 14:20:08 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 3/4; 8/11; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 3/4; 3/4; ; 3/4; 14/19; 81/100; 3/4; 3/4; 8/11; 8/11; 8/11; 14/19; ; 4/6; ; 
Draw; 11/4; 16/5; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 14/5; ; 31/10; 3; ; 14/5; 11/4; 61/20; 31/10; 37/13; 3; 16/5; 16/5; 14/5; ; 21/10; ; 
Valencia; 7/2; 16/5; 16/5; ; 10/3; 7/2; 16/5; 10/3; 7/2; 3; ; 10/3; ; 16/5; 10/3; ; 16/5; 57/17; 73/20; 13/4; 17/5; 3; 33/10; 16/5; 57/17; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-15 18:19:59 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 3/4; 8/11; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 3/4; 3/4; ; 3/4; 14/19; 81/100; 3/4; 3/4; 8/11; 8/11; 8/11; 14/19; ; 4/6; ; 
Draw; 11/4; 16/5; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 14/5; ; 31/10; 3; ; 14/5; 11/4; 61/20; 31/10; 37/13; 3; 16/5; 16/5; 14/5; ; 21/10; ; 
Valencia; 7/2; 16/5; 16/5; ; 10/3; 7/2; 16/5; 10/3; 7/2; 3; ; 10/3; ; 16/5; 10/3; ; 16/5; 57/17; 73/20; 13/4; 17/5; 3; 33/10; 16/5; 57/17; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-15 22:21:31 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 3/4; 8/11; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 3/4; 3/4; ; 3/4; 14/19; 81/100; 3/4; 3/4; 8/11; 8/11; 8/11; 14/19; ; 4/6; ; 
Draw; 11/4; 16/5; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 14/5; ; 31/10; 3; ; 14/5; 11/4; 61/20; 31/10; 37/13; 3; 16/5; 16/5; 14/5; ; 21/10; ; 
Valencia; 7/2; 16/5; 16/5; ; 10/3; 7/2; 16/5; 10/3; 7/2; 3; ; 10/3; ; 16/5; 10/3; ; 16/5; 57/17; 73/20; 13/4; 17/5; 3; 33/10; 16/5; 57/17; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-16 02:19:53 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 3/4; 8/11; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 3/4; 3/4; ; 3/4; 14/19; 81/100; 3/4; 3/4; 8/11; 8/11; 8/11; 14/19; ; 4/6; ; 
Draw; 11/4; 16/5; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 14/5; ; 31/10; 3; ; 14/5; 11/4; 61/20; 31/10; 37/13; 3; 16/5; 16/5; 14/5; ; 21/10; ; 
Valencia; 7/2; 16/5; 16/5; ; 10/3; 7/2; 16/5; 10/3; 7/2; 3; ; 10/3; ; 16/5; 10/3; ; 16/5; 57/17; 73/20; 13/4; 17/5; 3; 33/10; 16/5; 57/17; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-16 10:19:59 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 3/4; 8/11; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 3/4; 3/4; ; 3/4; 14/19; 81/100; 3/4; 3/4; 8/11; 3/4; 8/11; 14/19; ; 4/6; ; 
Draw; 11/4; 16/5; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 14/5; ; 31/10; 3; ; 14/5; 11/4; 61/20; 31/10; 37/13; 3; 16/5; 16/5; 14/5; ; 21/10; ; 
Valencia; 7/2; 16/5; 16/5; ; 10/3; 7/2; 16/5; 10/3; 7/2; 3; ; 10/3; ; 16/5; 10/3; ; 16/5; 57/17; 73/20; 13/4; 17/5; 3; 16/5; 16/5; 57/17; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-16 14:20:02 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 3/4; 8/11; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 3/4; 3/4; ; 3/4; 14/19; 81/100; 3/4; 3/4; 8/11; 3/4; 8/11; 14/19; ; 4/6; ; 
Draw; 11/4; 16/5; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 14/5; ; 31/10; 3; ; 14/5; 11/4; 61/20; 31/10; 37/13; 3; 16/5; 16/5; 14/5; ; 21/10; ; 
Valencia; 7/2; 16/5; 16/5; ; 10/3; 7/2; 16/5; 10/3; 7/2; 3; ; 10/3; ; 16/5; 10/3; ; 16/5; 57/17; 73/20; 13/4; 17/5; 3; 16/5; 16/5; 57/17; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-16 18:20:02 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 3/4; 8/11; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 3/4; 3/4; ; 3/4; 14/19; 81/100; 3/4; 3/4; 8/11; 3/4; 8/11; 14/19; ; 4/6; ; 
Draw; 11/4; 16/5; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 14/5; ; 31/10; 3; ; 14/5; 11/4; 61/20; 31/10; 37/13; 3; 16/5; 16/5; 14/5; ; 21/10; ; 
Valencia; 7/2; 16/5; 16/5; ; 10/3; 7/2; 16/5; 10/3; 7/2; 3; ; 10/3; ; 16/5; 10/3; ; 16/5; 57/17; 73/20; 13/4; 17/5; 3; 16/5; 16/5; 57/17; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-16 22:20:04 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 8/11; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 4/5; ; 4/5; 3/4; ; 3/4; 14/19; 81/100; 3/4; 3/4; 4/5; 4/5; 3/4; 14/19; ; 4/6; ; 
Draw; 3; 16/5; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; ; 14/5; 14/5; 61/20; 31/10; 37/13; 3; 16/5; 16/5; 11/4; ; 21/10; ; 
Valencia; 14/5; 16/5; 3; ; 10/3; 7/2; 3; 10/3; 7/2; 3; ; 14/5; ; 31/10; 10/3; ; 16/5; 16/5; 73/20; 13/4; 17/5; 14/5; 3; 3; 57/17; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-17 02:19:59 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 4/5; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/100; 3/4; 3/4; 4/5; 4/5; 3/4; 10/13; ; 4/6; ; 
Draw; 3; 3; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 14/5; ; 3; 3; ; 14/5; 14/5; 61/20; 31/10; 37/13; 3; 31/10; 16/5; 14/5; ; 21/10; ; 
Valencia; 14/5; 29/10; 3; ; 10/3; 7/2; 3; 10/3; 7/2; 3; ; 10/3; ; 31/10; 10/3; ; 16/5; 41/13; 73/20; 13/4; 17/5; 14/5; 3; 3; 16/5; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-17 10:20:01 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 4/5; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/100; 3/4; 3/4; 4/5; 4/5; 3/4; 14/19; ; 4/6; ; 
Draw; 3; 3; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 14/5; ; 3; 3; ; 14/5; 11/4; 61/20; 31/10; 37/13; 3; 31/10; 16/5; 14/5; ; 21/10; ; 
Valencia; 14/5; 29/10; 3; ; 10/3; 7/2; 3; 10/3; 7/2; 3; ; 10/3; ; 31/10; 10/3; ; 16/5; 13/4; 73/20; 13/4; 17/5; 14/5; 3; 3; 13/4; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-17 14:20:08 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 4/5; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/100; 3/4; 3/4; 4/5; 4/5; 3/4; 10/13; ; 4/6; ; 
Draw; 3; 3; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 14/5; ; 3; 3; ; 14/5; 14/5; 61/20; 31/10; 37/13; 3; 31/10; 16/5; 14/5; ; 21/10; ; 
Valencia; 14/5; 29/10; 3; ; 10/3; 7/2; 3; 10/3; 7/2; 3; ; 10/3; ; 31/10; 10/3; ; 16/5; 41/13; 73/20; 13/4; 17/5; 14/5; 3; 3; 16/5; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-17 18:20:18 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 4/5; 3/4; ; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/100; 3/4; 3/4; 4/5; 4/5; 3/4; 10/13; ; 4/6; ; 
Draw; 3; 3; 3; ; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 14/5; ; 3; 3; ; 14/5; 14/5; 61/20; 31/10; 37/13; 3; 31/10; 16/5; 14/5; ; 21/10; ; 
Valencia; 14/5; 29/10; 3; ; 10/3; 7/2; 3; 10/3; 7/2; 3; ; 10/3; ; 31/10; 10/3; ; 16/5; 41/13; 73/20; 13/4; 17/5; 14/5; 3; 3; 16/5; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-17 22:20:16 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 4/5; 3/4; 5/6; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/100; 3/4; 3/4; 4/5; 4/5; 3/4; 10/13; ; 4/6; ; 
Draw; 3; 3; 3; 3; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 14/5; ; 3; 3; ; 14/5; 11/4; 61/20; 31/10; 37/13; 3; 31/10; 16/5; 14/5; ; 21/10; ; 
Valencia; 14/5; 29/10; 3; 14/5; 10/3; 7/2; 3; 10/3; 7/2; 3; ; 10/3; ; 31/10; 10/3; ; 16/5; 41/13; 73/20; 13/4; 17/5; 14/5; 3; 3; 16/5; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-18 02:20:14 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 4/5; 3/4; 5/6; 4/5; 3/4; 3/4; 8/11; 3/4; 3/4; ; 3/4; ; 4/5; 3/4; ; 3/4; 14/19; 81/100; 3/4; 3/4; 4/5; 4/5; 3/4; 10/13; ; 4/6; ; 
Draw; 3; 3; 3; 3; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 14/5; ; 3; 3; ; 14/5; 11/4; 61/20; 31/10; 37/13; 3; 31/10; 16/5; 14/5; ; 21/10; ; 
Valencia; 14/5; 29/10; 3; 14/5; 10/3; 7/2; 3; 10/3; 7/2; 3; ; 10/3; ; 31/10; 10/3; ; 16/5; 41/13; 73/20; 13/4; 17/5; 14/5; 3; 3; 16/5; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-18 10:20:11 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 4/5; 3/4; 5/6; 4/5; 3/4; 4/5; 8/11; 3/4; 3/4; ; 4/5; ; 4/5; 3/4; ; 3/4; 10/13; 81/100; 3/4; 3/4; 4/5; 4/5; 3/4; 10/13; ; 4/6; ; 
Draw; 3; 3; 3; 3; 29/10; 31/10; 14/5; 3; 29/10; 3; ; 3; ; 3; 3; ; 14/5; 11/4; 61/20; 31/10; 37/13; 3; 31/10; 16/5; 14/5; ; 21/10; ; 
Valencia; 14/5; 29/10; 3; 14/5; 10/3; 7/2; 3; 10/3; 7/2; 3; ; 14/5; ; 31/10; 10/3; ; 16/5; 41/13; 73/20; 13/4; 17/5; 14/5; 3; 3; 16/5; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-18 14:20:35 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 4/5; 4/5; 3/4; 5/6; 4/5; 3/4; 4/5; 8/11; 3/4; ; ; 4/5; ; 4/5; 3/4; ; 3/4; 10/13; 81/100; 3/4; 3/4; 4/5; 4/5; 10/13; 10/13; ; 4/6; ; 
Draw; 3; 3; 3; 3; 29/10; 31/10; 14/5; 3; 29/10; ; ; 3; ; 3; 3; ; 14/5; 11/4; 61/20; 31/10; 37/13; 3; 31/10; 16/5; 14/5; ; 21/10; ; 
Valencia; 14/5; 29/10; 3; 14/5; 10/3; 7/2; 3; 10/3; 7/2; ; ; 14/5; ; 31/10; 10/3; ; 16/5; 41/13; 73/20; 13/4; 17/5; 14/5; 3; 29/10; 16/5; ; 1/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-18 18:20:06 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 17/20; 4/5; 10/11; 5/6; 10/11; 20/23; 9/10; 5/6; 3/4; 10/11; ; 20/21; ; 17/20; 10/11; ; 13/15; 10/11; 101/100; ; 3/4; 9/10; 19/20; 9/10; 10/11; ; 5/6; ; 
Draw; 3; 3; 14/5; 3; 14/5; 14/5; 11/4; 11/4; 29/10; 14/5; ; 5/2; ; 3; 3; ; 27/10; 45/17; 29/10; ; 37/13; 3; 3; 3; 27/10; ; 21/10; ; 
Valencia; 13/5; 29/10; 5/2; 14/5; 29/10; 31/10; 13/5; 3; 7/2; 5/2; ; 11/4; ; 14/5; 13/5; ; 14/5; 45/17; 141/50; ; 17/5; 5/2; 5/2; 13/5; 45/17; ; 19/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-18 22:19:36 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 19/20; 1; 21/20; 5/6; 1; 21/20; 21/20; 1; 1; 21/20; 21/20; 21/20; ; 21/20; 21/20; ; 19/20; 1; 57/50; 13/12; 1; 21/20; 11/10; 1; 1; ; 5/6; ; 
Valencia; 23/10; 9/4; 11/5; 14/5; 5/2; 12/5; 11/5; 12/5; 5/2; 21/10; 23/10; 11/5; ; 21/10; 12/5; ; 12/5; 23/10; 123/50; 28/13; 5/2; 11/5; 21/10; 9/4; 23/10; ; 7/4; ; 
Draw; 3; 3; 11/4; 3; 29/10; 14/5; 11/4; 11/4; 11/4; 11/4; 3; 14/5; ; 14/5; 11/4; ; 11/4; 45/17; 143/50; 56/19; 27/10; 3; 3; 3; 45/17; ; 21/10; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-19 02:19:27 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 19/20; 11/10; 21/20; 11/10; 1; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 21/20; ; 21/20; 21/20; ; 19/20; 1; 57/50; 13/12; 21/20; 21/20; 11/10; 1; 21/20; ; 5/6; ; 
Valencia; 23/10; 21/10; 11/5; 2; 5/2; 12/5; 11/5; 12/5; 12/5; 21/10; 23/10; 11/5; ; 21/10; 12/5; ; 12/5; 9/4; 5/2; 28/13; 40/17; 11/5; 21/10; 9/4; 23/10; ; 7/4; ; 
Draw; 3; 29/10; 11/4; 3; 29/10; 14/5; 13/5; 11/4; 11/4; 27/10; 3; 14/5; ; 14/5; 11/4; ; 11/4; 13/5; 141/50; 56/19; 27/10; 3; 3; 3; 45/17; ; 9/4; ; 
META; spain/la-liga-primera/valencia-v-barcelona; 2017-11-19 10:19:32 GMT+2; 2017-11-26 19:45; Nothing; Xlenovo
Barcelona; 11/10; 11/10; 21/20; 11/10; 1; 21/20; 21/20; 1; 21/20; 21/20; 11/10; 21/20; ; 21/20; 21/20; ; 19/20; 21/20; 28/25; 13/12; 21/20; 11/10; 11/10; 11/10; 21/20; ; 8/11; ; 
