META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-13 20:27:49 GMT+2; 2017-01-18 18:00; e70300-dr003
Atletico Madrid; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/19; ; ; 7/25; ; ; ; ; 1/4; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; 5; ; ; ; ; 7/2; ; 
Eibar; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/2; ; ; 12; ; ; ; ; 19/2; ; 
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-14 00:26:43 GMT+2; 2017-01-18 18:00; e70300-dr003
Atletico Madrid; ; 1/4; ; ; 2/7; ; 1/4; ; ; 1/4; ; ; ; 1/4; ; 1/4; 1/4; 5/19; ; 1/4; 7/25; ; ; ; ; 1/4; ; 
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 2/7; 1/4; 2/7; 2/9; 3/10; 3/10; 2/7; 1/4; 2/7; 3/10; 30/100; 1/4; 1/4; 5/18; 1/4; 1/4; 31/100; 3/10; 3/11; ; ; 3/10; 1/4; 3/10
Draw; 4; 4; 37/10; 15/4; 9/2; 17/4; 21/5; 9/2; 4; 15/4; 4; 9/2; 4; 15/4; 4; 9/2; 17/4; 17/4; 9/2; 17/4; 9/2; 4; 9/2; ; ; 4; 7/2; 21/5
Eibar; 10; 11; 10; 10; 11; 11; 21/2; 11; 9; 11; 11; 12; 11; 14; 9; 11; 49/4; 23/2; 11; 49/4; 23/2; 11; 11; ; ; 59/5; 53/5; 59/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 09:45:36 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 2/7; 1/4; 2/7; 2/9; 3/10; 3/10; 2/7; 1/4; 2/7; 3/10; 30/100; 1/4; 1/4; 5/18; 1/4; 1/4; 31/100; 3/10; 3/11; ; ; 3/10; 2/7; 3/10
Draw; 4; 4; 37/10; 15/4; 9/2; 17/4; 21/5; 9/2; 4; 15/4; 4; 9/2; 4; 15/4; 4; 9/2; 17/4; 17/4; 9/2; 17/4; 9/2; 4; 9/2; ; ; 4; 7/2; 21/5
Eibar; 10; 11; 10; 10; 11; 11; 21/2; 11; 9; 11; 11; 12; 11; 14; 9; 11; 49/4; 23/2; 11; 49/4; 23/2; 11; 11; ; ; 59/5; 56/5; 59/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 11:45:38 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 3/10; 1/4; 2/7; 1/4; 3/10; 3/10; 2/7; 1/4; 2/7; 3/10; 30/100; 2/7; 3/11; 5/18; 1/4; 3/11; 31/100; 3/10; 3/11; ; ; 3/10; 3/10; 3/10
Draw; 4; 4; 37/10; 15/4; 4; 17/4; 21/5; 4; 4; 15/4; 4; 9/2; 4; 15/4; 4; 4; 41/10; 17/4; 9/2; 41/10; 9/2; 4; 9/2; ; ; 7/2; 7/2; 4
Eibar; 11; 11; 10; 10; 11; 11; 21/2; 11; 9; 10; 11; 12; 11; 14; 9; 11; 23/2; 23/2; 11; 23/2; 23/2; 11; 11; ; ; 10; 12; 54/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 12:29:27 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 3/10; 1/4; 2/7; 1/4; 3/10; 3/10; 2/7; 1/4; 2/7; 3/10; 30/100; 2/7; 3/11; 5/18; 1/4; 3/11; 33/100; 3/10; 3/11; ; ; 3/10; 3/10; 3/10
Draw; 4; 4; 37/10; 15/4; 4; 17/4; 21/5; 4; 4; 15/4; 4; 9/2; 4; 15/4; 4; 4; 41/10; 17/4; 9/2; 41/10; 43/10; 4; 9/2; ; ; 7/2; 4; 4
Eibar; 11; 11; 10; 11; 11; 11; 21/2; 11; 9; 10; 11; 12; 11; 14; 9; 11; 23/2; 23/2; 11; 23/2; 11; 11; 11; ; ; 10; 12; 54/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 12:53:35 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 3/10; 1/4; 2/7; 1/4; 3/10; 3/10; 2/7; 1/4; 2/7; 2/7; 30/100; 2/7; 3/11; 5/18; 1/4; 3/11; 33/100; 3/10; 3/11; ; ; 3/10; 3/10; 3/10
Draw; 4; 4; 15/4; 15/4; 4; 17/4; 21/5; 4; 4; 15/4; 4; 9/2; 4; 19/5; 4; 4; 41/10; 17/4; 9/2; 41/10; 43/10; 4; 9/2; ; ; 7/2; 4; 4
Eibar; 11; 11; 10; 11; 11; 11; 21/2; 11; 10; 10; 11; 12; 11; 14; 9; 11; 23/2; 23/2; 11; 23/2; 11; 11; 11; ; ; 62/5; 12; 54/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 13:45:37 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 2/7; 3/10; 3/10; 1/4; 2/7; 1/4; 3/10; 3/10; 2/7; 1/4; 2/7; 2/7; 30/100; 2/7; 3/11; 5/18; 1/4; 3/11; 33/100; 3/10; 3/11; ; ; 3/10; 3/10; 3/10
Draw; 4; 4; 15/4; 15/4; 4; 17/4; 21/5; 4; 4; 4; 4; 9/2; 4; 19/5; 4; 4; 41/10; 17/4; 9/2; 41/10; 43/10; 4; 9/2; ; ; 21/5; 21/5; 4
Eibar; 11; 11; 10; 11; 11; 11; 21/2; 11; 10; 10; 11; 12; 11; 14; 9; 11; 23/2; 23/2; 11; 23/2; 11; 11; 11; ; ; 52/5; 53/5; 54/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 15:45:38 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 3/10; 1/4; 2/7; 1/4; 3/10; 3/10; 2/7; 1/4; 2/7; 2/7; 30/100; 2/7; 3/11; 5/18; 1/4; 3/11; 33/100; 3/10; 3/11; ; ; 3/10; 3/10; 3/10
Draw; 4; 4; 37/10; 15/4; 4; 17/4; 21/5; 4; 4; 15/4; 4; 9/2; 4; 19/5; 4; 4; 41/10; 17/4; 9/2; 41/10; 43/10; 4; 9/2; ; ; 21/5; 21/5; 4
Eibar; 11; 12; 10; 10; 11; 11; 21/2; 11; 10; 10; 11; 12; 11; 14; 9; 11; 23/2; 23/2; 11; 23/2; 11; 11; 11; ; ; 52/5; 51/5; 54/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 16:29:18 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 3/10; 1/4; 2/7; 1/4; 3/10; 3/10; 2/7; 1/4; 2/7; 2/7; 30/100; 2/7; 3/11; 5/18; 1/4; 3/11; 33/100; 3/10; 3/11; ; ; 3/10; 3/10; 3/10
Draw; 4; 4; 37/10; 15/4; 4; 17/4; 21/5; 4; 4; 15/4; 4; 9/2; 4; 19/5; 4; 4; 41/10; 17/4; 9/2; 41/10; 43/10; 7/2; 9/2; ; ; 21/5; 21/5; 4
Eibar; 11; 12; 10; 10; 11; 11; 21/2; 11; 10; 10; 11; 12; 11; 14; 9; 11; 23/2; 23/2; 11; 23/2; 11; 11; 11; ; ; 52/5; 51/5; 54/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 17:45:34 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 2/7; 1/4; 2/7; 1/4; 3/10; 3/10; 2/7; 1/4; 2/7; 2/7; 2/7; 2/7; 1/4; 5/18; 1/4; 1/4; 33/100; 3/10; 3/11; ; ; 3/10; 3/10; 2/7
Draw; 4; 4; 37/10; 15/4; 9/2; 17/4; 21/5; 4; 4; 4; 4; 9/2; 4; 19/5; 17/4; 4; 74/17; 17/4; 9/2; 74/17; 43/10; 7/2; 9/2; ; ; 21/5; 21/5; 21/5
Eibar; 11; 12; 10; 10; 11; 11; 21/2; 11; 10; 11; 11; 12; 12; 14; 9; 11; 25/2; 23/2; 11; 25/2; 11; 11; 11; ; ; 59/5; 58/5; 59/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 18:29:41 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 2/7; 1/4; 2/7; 1/4; 3/10; 3/10; 2/7; 1/4; 2/7; 2/7; 2/7; 2/7; 1/4; 5/18; 1/4; 1/4; 33/100; 3/10; 3/11; ; ; 3/10; 3/10; 2/7
Draw; 4; 4; 37/10; 15/4; 9/2; 17/4; 21/5; 4; 4; 4; 4; 9/2; 4; 19/5; 17/4; 4; 74/17; 17/4; 9/2; 74/17; 43/10; 7/2; 9/2; ; ; 21/5; 21/5; 21/5
Eibar; 11; 12; 10; 10; 11; 11; 21/2; 11; 10; 11; 11; 12; 12; 14; 9; 11; 25/2; 23/2; 11; 25/2; 11; 11; 11; ; ; 59/5; 58/5; 59/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 19:45:38 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 2/7; 1/4; 2/7; 1/4; 3/10; 2/7; 2/7; 1/4; 2/7; 2/7; 2/7; 2/7; 1/4; 5/18; ; 1/4; 31/100; 3/10; 3/11; ; ; 3/10; 2/7; 2/7
Draw; 4; 4; 15/4; 15/4; 9/2; 17/4; 21/5; 4; 4; 4; 4; 9/2; 4; 19/5; 17/4; 4; 43/10; 17/4; ; 43/10; 23/5; 7/2; 9/2; ; ; 21/5; 21/5; 21/5
Eibar; 11; 12; 10; 10; 11; 11; 21/2; 11; 10; 11; 11; 12; 12; 14; 9; 11; 49/4; 23/2; ; 49/4; 11; 11; 11; ; ; 59/5; 58/5; 59/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 20:28:31 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 3/10; 1/4; 2/7; 1/4; 3/10; 3/10; 2/7; 1/4; 2/7; 3/10; 1/3; 2/7; 5/19; 5/18; 1/4; 5/19; 33/100; 3/10; 3/11; ; ; 3/10; 3/10; 3/10
Draw; 4; 4; 15/4; 15/4; 4; 17/4; 21/5; 4; 4; 15/4; 4; 9/2; 4; 18/5; 15/4; 4; 54/13; 17/4; 9/2; 54/13; 22/5; 7/2; 9/2; ; ; 4; 4; 4
Eibar; 11; 11; 10; 10; 11; 11; 21/2; 11; 9; 11; 11; 12; 11; 12; 8; 11; 49/4; 23/2; 11; 49/4; 21/2; 11; 11; ; ; 59/5; 58/5; 57/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 21:45:34 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 2/7; 1/4; 2/7; 1/4; 3/10; 3/10; 2/7; 1/4; 2/7; 2/7; 30/100; 2/7; 5/19; 5/18; 1/4; 5/19; 31/100; 3/10; 3/11; ; ; 3/10; 3/10; 3/10
Draw; 4; 4; 15/4; 15/4; 4; 17/4; 4; 4; 4; 15/4; 4; 9/2; 4; 15/4; 4; 4; 54/13; 17/4; 9/2; 54/13; 22/5; 7/2; 9/2; ; ; 4; 4; 4
Eibar; 11; 12; 10; 10; 12; 11; 21/2; 11; 10; 11; 11; 12; 11; 14; 9; 12; 49/4; 23/2; 11; 49/4; 12; 10; 11; ; ; 66/5; 63/5; 59/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-18 23:45:25 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 2/7; 1/4; 2/7; 1/4; 3/10; 3/10; 2/7; 1/4; 2/7; 2/7; 30/100; 2/7; 1/4; 5/18; 1/4; 1/4; 31/100; 3/10; 3/11; ; ; 3/10; 3/10; 1/3
Draw; 4; 4; 37/10; 15/4; 4; 17/4; 4; 4; 4; 15/4; 4; 9/2; 4; 19/5; 4; 4; 21/5; 17/4; 9/2; 21/5; 22/5; 7/2; 9/2; ; ; 22/5; 21/5; 4
Eibar; 11; 12; 10; 10; 12; 11; 11; 11; 10; 11; 11; 12; 12; 12; 9; 12; 25/2; 23/2; 11; 25/2; 12; 10; 11; ; ; 59/5; 12; 59/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-19 00:25:31 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 3/10; 1/4; 2/7; 1/4; 3/10; 3/10; 2/7; 1/4; 2/7; 2/7; 30/100; 2/7; 1/4; 5/18; 1/4; 1/4; 8/25; 3/10; 3/11; ; ; 3/10; 2/7; 1/3
Draw; 4; 4; 37/10; 15/4; 4; 17/4; 21/5; 4; 4; 15/4; 4; 9/2; 4; 19/5; 4; 4; 21/5; 17/4; 9/2; 21/5; 43/10; 7/2; 9/2; ; ; 21/5; 21/5; 4
Eibar; 11; 12; 10; 10; 11; 11; 21/2; 11; 10; 11; 11; 12; 11; 12; 9; 12; 25/2; 23/2; 11; 25/2; 23/2; 10; 11; ; ; 57/5; 12; 57/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-19 03:45:12 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 3/10; 1/4; 3/10; 1/4; 3/10; 3/10; 2/7; 1/4; 3/10; 3/10; 30/100; 2/7; 5/19; 5/18; 1/4; 5/19; 8/25; 3/10; 3/11; ; ; 3/10; 3/10; 1/3
Draw; 4; 4; 18/5; 15/4; 4; 17/4; 4; 4; 4; 15/4; 4; 9/2; 15/4; 15/4; 4; 4; 54/13; 17/4; 9/2; 54/13; 22/5; 7/2; 9/2; ; ; 9/2; 21/5; 4
Eibar; 11; 11; 9; 10; 11; 11; 10; 11; 10; 10; 11; 12; 11; 11; 9; 11; 12; 23/2; 11; 12; 11; 10; 11; ; ; 59/5; 58/5; 64/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-19 04:25:33 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 3/10; 1/4; 3/10; 1/4; 3/10; 3/10; 2/7; 1/4; 3/10; 3/10; 30/100; 2/7; 5/19; 5/18; 1/4; 5/19; 8/25; 3/10; 3/11; ; ; 3/10; 3/10; 1/3
Draw; 4; 4; 18/5; 15/4; 4; 17/4; 4; 4; 4; 15/4; 4; 9/2; 15/4; 15/4; 4; 4; 54/13; 17/4; 9/2; 54/13; 22/5; 7/2; 9/2; ; ; 9/2; 21/5; 4
Eibar; 11; 11; 9; 10; 11; 11; 21/2; 11; 10; 10; 11; 12; 11; 11; 9; 11; 12; 23/2; 11; 12; 11; 10; 11; ; ; 59/5; 58/5; 64/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-19 05:45:12 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 3/10; 1/4; 3/10; 1/4; 3/10; 3/10; 2/7; 1/4; 3/10; 3/10; 30/100; 2/7; 5/19; 5/18; 1/4; 5/19; 8/25; 3/10; 3/11; ; ; 3/10; 3/10; 1/3
Draw; 4; 4; 18/5; 7/2; 4; 17/4; 4; 4; 4; 15/4; 4; 9/2; 15/4; 15/4; 4; 4; 54/13; 17/4; 9/2; 54/13; 22/5; 7/2; 9/2; ; ; 22/5; 4; 4
Eibar; 11; 11; 9; 11; 11; 11; 10; 11; 10; 10; 11; 12; 11; 11; 9; 11; 23/2; 23/2; 11; 23/2; 11; 10; 11; ; ; 59/5; 53/5; 64/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-19 06:25:23 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 3/10; 1/4; 3/10; 1/4; 3/10; 3/10; 2/7; 1/4; 3/10; 3/10; 30/100; 2/7; 5/19; 5/18; ; 5/19; 8/25; 3/10; 3/11; ; ; 3/10; 3/10; 1/3
Draw; 4; 4; 18/5; 7/2; 4; 17/4; 4; 4; 4; 15/4; 4; 9/2; 15/4; 15/4; 4; 4; 54/13; 17/4; ; 54/13; 22/5; 7/2; 9/2; ; ; 21/5; 4; 4
Eibar; 11; 11; 9; 11; 11; 11; 10; 11; 10; 10; 11; 12; 11; 11; 9; 11; 23/2; 23/2; ; 23/2; 11; 10; 11; ; ; 64/5; 56/5; 64/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-19 07:45:12 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 3/10; 2/7; 3/10; 3/10; 3/10; 1/4; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 30/100; 2/7; 3/11; 5/18; 1/4; 3/11; 8/25; 3/10; 3/11; ; ; 3/10; 3/10; 1/3
Draw; 4; 4; 37/10; 15/4; 4; 17/4; 4; 4; 19/5; 15/4; 4; 9/2; 15/4; 15/4; 4; 4; 41/10; 17/4; 9/2; 41/10; 22/5; 7/2; 9/2; ; ; 21/5; 21/5; 4
Eibar; 9; 11; 10; 10; 11; 11; 10; 11; 9; 10; 10; 12; 11; 11; 9; 11; 45/4; 23/2; 11; 45/4; 11; 10; 11; ; ; 62/5; 63/5; 64/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-19 08:25:21 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 3/10; 2/7; 3/10; 3/10; 3/10; 1/4; 3/10; 1/4; 1/3; 3/10; 3/10; 1/4; 3/10; 3/10; 30/100; 2/7; 3/11; 5/18; 1/4; 3/11; 8/25; 3/10; 3/11; ; ; 3/10; 3/10; 1/3
Draw; 4; 4; 18/5; 15/4; 4; 17/4; 4; 4; 19/5; 15/4; 4; 9/2; 15/4; 15/4; 4; 4; 41/10; 17/4; 9/2; 41/10; 22/5; 7/2; 9/2; ; ; 21/5; 21/5; 4
Eibar; 9; 11; 9; 10; 11; 11; 10; 11; 9; 10; 10; 12; 11; 11; 9; 11; 45/4; 23/2; 11; 45/4; 11; 10; 11; ; ; 62/5; 63/5; 64/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-19 09:45:18 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 3/10; 2/7; 3/10; 3/10; 3/10; 2/7; 2/7; 1/4; 3/10; 3/10; 2/7; 1/4; 3/10; 3/10; 30/100; 2/7; 3/11; 5/18; 1/4; 3/11; 3/10; 3/10; 3/11; ; ; 3/10; 3/10; 1/3
Draw; 4; 4; 7/2; 7/2; 4; 19/5; 4; 4; 19/5; 15/4; 4; 9/2; 15/4; 18/5; 4; 4; 4; 17/4; 9/2; 4; 9/2; 7/2; 9/2; ; ; 21/5; 21/5; 4
Eibar; 9; 11; 10; 11; 11; 11; 11; 12; 10; 10; 11; 12; 11; 14; 10; 11; 23/2; 23/2; 11; 23/2; 12; 10; 11; ; ; 62/5; 12; 64/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-19 11:45:14 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 3/10; 2/7; 2/7; 1/4; 3/10; 3/10; 2/7; 3/10; 3/10; 3/10; 30/100; 2/7; 3/11; 5/18; 1/4; 3/11; 33/100; 3/10; 3/11; ; ; 3/10; 3/10; 1/3
Draw; 4; 4; 18/5; 7/2; 4; 19/5; 4; 4; 19/5; 15/4; 4; 4; 15/4; 18/5; 4; 4; 77/19; 17/4; 9/2; 77/19; 21/5; 7/2; 9/2; ; ; 21/5; 21/5; 21/5
Eibar; 11; 11; 10; 11; 11; 11; 11; 11; 10; 10; 11; 10; 12; 14; 10; 11; 12; 23/2; 11; 12; 23/2; 10; 11; ; ; 59/5; 12; 64/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-19 12:27:05 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 3/10; 2/7; 2/7; 1/4; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 30/100; 2/7; 3/11; 5/18; 3/10; 3/11; 33/100; 3/10; 3/10; ; ; 3/10; 3/10; 1/3
Draw; 4; 4; 18/5; 7/2; 4; 19/5; 4; 4; 19/5; 15/4; 4; 4; 15/4; 18/5; 4; 4; 77/19; 17/4; 4; 77/19; 21/5; 7/2; 4; ; ; 22/5; 22/5; 22/5
Eibar; 11; 11; 10; 11; 11; 11; 11; 11; 10; 11; 11; 10; 12; 14; 10; 11; 12; 23/2; 11; 12; 23/2; 10; 11; ; ; 64/5; 63/5; 64/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-19 12:46:25 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 3/10; 2/7; 2/7; 1/4; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 30/100; 2/7; 3/11; 5/18; 3/10; 3/11; 33/100; 3/10; 3/10; ; ; 2/7; 3/10; 1/3
Draw; 4; 4; 18/5; 7/2; 4; 19/5; 4; 4; 19/5; 15/4; 4; 4; 15/4; 18/5; 4; 4; 77/19; 17/4; 4; 77/19; 21/5; 7/2; 4; ; ; 22/5; 22/5; 22/5
Eibar; 11; 11; 11; 11; 11; 11; 11; 11; 10; 11; 11; 10; 12; 14; 10; 11; 12; 23/2; 11; 12; 23/2; 23/2; 11; ; ; 64/5; 63/5; 64/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-19 13:45:14 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 3/10; 2/7; 3/10; 1/4; 3/10; 3/10; 1/3; 3/10; 3/10; 3/10; 30/100; 2/7; 5/18; 5/18; 3/10; 5/18; 8/25; 3/10; 3/10; ; ; 3/10; 3/10; 3/10
Draw; 4; 15/4; 7/2; 7/2; 4; 19/5; 19/5; 4; 19/5; 15/4; 15/4; 4; 15/4; 18/5; 4; 4; 39/10; 17/4; 4; 39/10; 43/10; 7/2; 4; ; ; 21/5; 21/5; 21/5
Eibar; 11; 12; 10; 11; 12; 11; 11; 11; 10; 11; 11; 10; 11; 14; 10; 11; 47/4; 23/2; 11; 47/4; 12; 10; 11; ; ; 64/5; 63/5; 64/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-19 15:45:13 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 3/10; 2/7; 2/7; 1/4; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 30/100; 2/7; 5/19; 5/18; 3/10; 5/19; 33/100; 3/10; 3/10; ; ; 3/10; 3/10; 3/10
Draw; 4; 15/4; 18/5; 7/2; 4; 19/5; 4; 4; 19/5; 15/4; 4; 4; 15/4; 18/5; 4; 4; 41/10; 17/4; 4; 41/10; 21/5; 4; 4; ; ; 21/5; 21/5; 21/5
Eibar; 11; 12; 11; 12; 11; 11; 11; 11; 10; 12; 11; 10; 12; 14; 10; 11; 13; 23/2; 11; 13; 23/2; 54/5; 11; ; ; 64/5; 63/5; 64/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-19 16:28:40 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 3/10; 2/7; 2/7; 1/4; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 30/100; 2/7; 5/19; 5/18; 3/10; 5/19; 33/100; 3/10; 3/10; ; ; 3/10; 3/10; 3/10
Draw; 4; 15/4; 18/5; 15/4; 4; 19/5; 4; 4; 19/5; 15/4; 4; 4; 15/4; 18/5; 4; 4; 41/10; 17/4; 4; 41/10; 21/5; 4; 4; ; ; 21/5; 21/5; 21/5
Eibar; 11; 12; 11; 11; 12; 11; 11; 11; 10; 12; 11; 10; 12; 14; 10; 11; 13; 23/2; 11; 13; 23/2; 54/5; 11; ; ; 64/5; 63/5; 64/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-19 17:45:16 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 3/10; 2/7; 3/10; 1/4; 3/10; 3/10; 1/3; 3/10; 3/10; 3/10; 30/100; 2/7; 5/19; 5/18; 3/10; 5/19; 8/25; 3/10; 3/10; ; ; 3/10; 3/10; 3/10
Draw; 4; 15/4; 7/2; 15/4; 4; 19/5; 19/5; 4; 19/5; 15/4; 15/4; 4; 15/4; 18/5; 4; 4; 77/19; 17/4; 4; 77/19; 43/10; 4; 4; ; ; 21/5; 22/5; 21/5
Eibar; 11; 12; 10; 11; 11; 11; 11; 11; 10; 11; 11; 10; 12; 14; 10; 11; 49/4; 23/2; 11; 49/4; 23/2; 54/5; 11; ; ; 64/5; 63/5; 64/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-19 18:29:22 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 3/10; 3/10; 3/10; 2/7; 3/10; 1/4; 1/3; 3/10; 3/10; 3/10; 3/10; 3/10; 30/100; 2/7; 5/19; 5/18; 3/10; ; 8/25; 3/10; 3/10; ; ; 3/10; 3/10; 1/3
Draw; 4; 15/4; 7/2; 7/2; 4; 19/5; 19/5; 4; 19/5; 15/4; 4; 4; 15/4; 18/5; 4; 4; 77/19; 17/4; 4; ; 43/10; 4; 4; ; ; 21/5; 21/5; 21/5
Eibar; 11; 12; 10; 12; 11; 11; 11; 11; 10; 10; 12; 10; 11; 14; 10; 11; 49/4; 23/2; 11; ; 23/2; 54/5; 11; ; ; 62/5; 63/5; 64/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-19 19:45:15 GMT+2; 2017-01-19 18:15; e70300-dr003
Atletico Madrid; 2/7; 2/7; 2/7; 3/10; 2/7; 2/7; 2/7; 1/4; 3/10; 2/7; 3/10; 3/10; 2/7; 2/7; 2/7; 2/7; 4/17; 5/18; 3/10; 4/17; 29/100; 1/4; 3/10; ; ; 3/10; 3/10; 3/10
Draw; 4; 4; 15/4; 15/4; 4; 19/5; 4; 4; 4; 4; 4; 4; 4; 19/5; 17/4; 4; 43/10; 17/4; 4; 43/10; 23/5; 22/5; 4; ; ; 22/5; 22/5; 21/5
Eibar; 11; 12; 10; 11; 12; 11; 11; 11; 10; 11; 12; 10; 12; 14; 9; 11; 13; 23/2; 11; 13; 13; 21/2; 11; ; ; 64/5; 13; 64/5
META; spain/copa-del-rey/atletico-madrid-v-eibar; 2017-01-19 20:27:57 GMT+2; 2017-01-19 18:15; In Play; e70300-dr003
Atletico Madrid; 1/3; 4/11; 7/20; ; 4/11; 7/20; 4/11; 3/10; ; 4/11; 1/3; ; 1/3; 7/20; ; ; 5/18; 6/17; ; 6/19; 33/100; ; ; ; ; ; 1/3; 
Draw; 7/2; 10/3; 10/3; 33/10; 7/2; 10/3; 17/5; 10/3; ; 16/5; 16/5; ; 15/4; 10/3; ; ; 62/17; 7/2; ; 38/11; 77/20; ; ; ; ; ; 7/2; 
Eibar; 11; 8; 9; 9; 9; 17/2; 9; 11; ; 8; 17/2; ; 10; 10; ; ; 41/4; 19/2; ; 19/2; 21/2; ; ; ; ; ; 56/5; 
