META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-20 18:23:44 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 11/10; ; 11/10; 1; 11/10; ; 1; 11/10; 11/10; ; 1; ; ; ; 21/20; ; ; 21/20; 29/25; 42/41; ; ; ; ; ; ; 
Cadiz; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 11/10; 11/10; 11/10; 23/20; 11/10; 23/20; 21/20; 21/20; 11/10; 1; 21/20; 6/5; 12/11; 42/41; 11/10; 24/23; ; 21/20; 10/9; 
Draw; 21/10; 2; 2; 2; 21/10; 2; 85/40; 2; 15/8; 2; 2; 2; 2; 11/5; 2; 2; 39/19; 21/10; 2; 39/19; 21/10; 39/19; 39/19; 2; 21/10; ; 19/10; 2; 
Tenerife; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 29/10; 11/4; 5/2; 14/5; 13/5; 11/4; 27/10; 13/5; 11/4; 14/5; 29/10; 14/5; 14/5; 29/10; 3; 12/5; 56/19; 13/5; 3; ; 14/5; 5/2; 
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-25 22:24:22 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 11/10; 11/10; 11/10; 23/20; 11/10; 23/20; 21/20; 21/20; 11/10; 1; 21/20; 61/50; 12/11; 42/41; 11/10; 24/23; ; 21/20; 10/9; 
Draw; 21/10; 2; 2; 2; 21/10; 2; 85/40; 2; 15/8; 2; 2; 2; 2; 21/10; 2; 2; 39/19; 21/10; 2; 39/19; 52/25; 39/19; 39/19; 2; 21/10; ; 19/10; 2; 
Tenerife; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 29/10; 11/4; 5/2; 14/5; 13/5; 11/4; 27/10; 13/5; 11/4; 14/5; 29/10; 14/5; 14/5; 29/10; 3; 12/5; 56/19; 13/5; 3; ; 14/5; 14/5; 
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-26 02:26:51 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 11/10; 11/10; 11/10; 23/20; 11/10; 23/20; 21/20; 21/20; 11/10; 1; 21/20; 28/25; 12/11; 42/41; 11/10; 24/23; ; 23/20; 23/20; 
Draw; 21/10; 2; 2; 2; 21/10; 2; 85/40; 2; 15/8; 2; 2; 2; 2; 21/10; 2; 2; 39/19; 21/10; 2; 39/19; 85/40; 39/19; 39/19; 2; 21/10; ; 19/10; 2; 
Tenerife; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 29/10; 11/4; 5/2; 14/5; 13/5; 11/4; 27/10; 13/5; 11/4; 14/5; 29/10; 14/5; 14/5; 29/10; 16/5; 12/5; 56/19; 13/5; 3; ; 14/5; 14/5; 
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-26 06:24:50 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 21/20; 21/20; 11/10; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 11/10; 11/10; 11/10; 23/20; 11/10; 23/20; 21/20; 21/20; 11/10; 1; 21/20; 28/25; 8/7; 42/41; 11/10; 24/23; ; 10/9; 10/9; 
Draw; 21/10; 2; 2; 2; 21/10; 2; 85/40; 2; 15/8; 2; 2; 2; 2; 21/10; 2; 2; 39/19; 21/10; 2; 39/19; 85/40; 2; 39/19; 2; 21/10; ; 2; 2; 
Tenerife; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 29/10; 11/4; 5/2; 14/5; 13/5; 13/5; 27/10; 13/5; 11/4; 14/5; 29/10; 14/5; 14/5; 29/10; 16/5; 28/11; 56/19; 13/5; 3; ; 14/5; 3; 
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-26 10:24:27 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 6/5; 6/5; 5/4; 21/20; 5/4; 6/5; 13/10; 11/10; 6/5; 13/10; 13/10; 5/4; 23/20; 13/10; 6/5; 15/13; 5/4; 15/13; 5/4; 5/4; 123/100; 17/13; 5/4; 13/10; 23/18; ; 13/10; 13/10; 
Draw; 21/10; 19/10; 39/20; 2; 2; 19/10; 21/10; 15/8; 15/8; 19/10; 2; 2; 2; 21/10; 2; 2; 2; 2; 19/10; 2; 21/10; 2; 37/19; 2; 37/19; ; 19/10; 19/10; 
Tenerife; 5/2; 12/5; 9/4; 11/4; 5/2; 9/4; 12/5; 13/5; 23/10; 5/2; 11/5; 12/5; 27/10; 9/4; 5/2; 5/2; 5/2; 14/5; 12/5; 5/2; 29/10; 28/13; 27/11; 23/10; 27/11; ; 13/5; 13/5; 
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-26 14:26:55 GMT+2; 2017-03-26 14:00; Nothing; Xlenovo
Cadiz; 6/5; 6/5; 5/4; 6/5; 13/10; 6/5; 13/10; 11/10; 6/5; 13/10; 5/4; 5/4; 23/20; 13/10; 13/10; 6/5; 5/4; 6/5; 5/4; ; 131/100; 17/13; 5/4; 5/4; 23/18; ; 13/10; 13/10; 
Draw; 21/10; 2; 39/20; 2; 2; 19/10; 21/10; 15/8; 15/8; 19/10; 2; 2; 2; 21/10; 2; 2; 2; 2; 19/10; ; 2; 2; 37/19; 2; 37/19; ; 19/10; 19/10; 
Tenerife; 5/2; 23/10; 23/10; 23/10; 12/5; 23/10; 12/5; 13/5; 23/10; 12/5; 9/4; 12/5; 27/10; 9/4; 23/10; 12/5; 5/2; 27/10; 12/5; ; 139/50; 28/13; 27/11; 23/10; 27/11; ; 13/5; 13/5; 
META; spain/la-liga-segunda/cadiz-v-tenerife; 2017-03-26 18:27:49 GMT+2; 2017-03-26 14:00; In Play; Xlenovo
Draw; 8/15; 1/2; 6/10; ; 4/5; 11/10; 1/2; 4/9; ; 8/15; ; 6/10; ; 10/11; ; ; 13/17; 6/11; ; 13/17; ; ; ; 8/13; 7/9; ; ; 4/7; 
Cadiz; 10/3; 7/2; 3; ; 5/2; 17/10; 7/2; 16/5; ; 16/5; ; 11/4; ; 12/5; ; ; 45/17; 29/10; ; 45/17; ; ; ; 3; 28/11; ; ; 3; 
Tenerife; 9/2; 4; 19/5; ; 7/2; 14/5; 9/2; 4; ; 4; ; 7/2; ; 3; ; ; 16/5; 4; ; 16/5; ; ; ; 15/4; 17/5; ; ; 23/5; 
